#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04370	VEGF signaling pathway	7	56	1.11	1.21	6.94e-06	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000371886,9606.ENSP00000396045,9606.ENSP00000428056,9606.ENSP00000497733,9606.ENSP00000500582	MAPK14,MAPK3,JMJD7-PLA2G4B,PLA2G4B,PIK3R1,CDC42,AKT3
hsa05034	Alcoholism	10	146	0.85	1.05	7.78e-06	9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000309591,9606.ENSP00000326031,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000362649,9606.ENSP00000364995,9606.ENSP00000387699	MAPK3,ARAF,PRKACA,PPP1CA,CREB3L2,ATF4,CREB3,HDAC1,SHC3,CREB1
hsa04152	AMPK signaling pathway	9	120	0.89	1.04	1.24e-05	9606.ENSP00000261461,9606.ENSP00000308413,9606.ENSP00000329140,9606.ENSP00000339527,9606.ENSP00000342136,9606.ENSP00000387699,9606.ENSP00000418447,9606.ENSP00000428056,9606.ENSP00000500582	PPP2R5A,RPS6KB2,CREB3L2,FOXO3,CREB3,CREB1,PPP2CA,PIK3R1,AKT3
hsa04720	Long-term potentiation	7	63	1.06	1.13	1.38e-05	9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000309591,9606.ENSP00000326031,9606.ENSP00000336790,9606.ENSP00000358723	CREBBP,MAPK3,ARAF,PRKACA,PPP1CA,ATF4,RAP1A
hsa05217	Basal cell carcinoma	7	63	1.06	1.13	1.38e-05	9606.ENSP00000257430,9606.ENSP00000262320,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000286201,9606.ENSP00000351605,9606.ENSP00000363826	APC,AXIN1,WNT5A,WNT2,FZD7,FZD6,FZD8
hsa04350	TGF-beta signaling pathway	8	91	0.96	1.07	1.41e-05	9606.ENSP00000231487,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000308413,9606.ENSP00000351905,9606.ENSP00000382697,9606.ENSP00000400175,9606.ENSP00000418447	SKP1,CREBBP,MAPK3,RPS6KB2,TGFBR2,ROCK1,RHOA,PPP2CA
hsa05031	Amphetamine addiction	7	65	1.05	1.11	1.63e-05	9606.ENSP00000309591,9606.ENSP00000326031,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000362649,9606.ENSP00000387699	PRKACA,PPP1CA,CREB3L2,ATF4,CREB3,HDAC1,CREB1
hsa04068	FoxO signaling pathway	9	126	0.87	1.01	1.72e-05	9606.ENSP00000229795,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000266970,9606.ENSP00000290277,9606.ENSP00000339527,9606.ENSP00000351905,9606.ENSP00000428056,9606.ENSP00000500582	MAPK14,CREBBP,MAPK3,CDK2,ARAF,FOXO3,TGFBR2,PIK3R1,AKT3
hsa05142	Chagas disease	8	97	0.93	1.03	2.13e-05	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000351905,9606.ENSP00000384273,9606.ENSP00000418447,9606.ENSP00000428056,9606.ENSP00000483825,9606.ENSP00000500582	MAPK14,MAPK3,TGFBR2,RELA,PPP2CA,PIK3R1,IKBKG,AKT3
hsa04210	Apoptosis	9	131	0.85	0.98	2.27e-05	9606.ENSP00000263025,9606.ENSP00000263464,9606.ENSP00000295006,9606.ENSP00000336790,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000458162,9606.ENSP00000483825,9606.ENSP00000500582	MAPK3,BIRC3,CAPN2,ATF4,RELA,PIK3R1,ACTG1,IKBKG,AKT3
