"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"RGS7","up",0.783473496655028,8.26325109415402,2.46388440043166,0.0215850648839053,0.817483730450281,TRUE,"up",TRUE
"SFRP2","up",1.19970092935034,13.8651668421567,2.45577842652472,0.0219726023443735,0.820516803126397,TRUE,"up",TRUE
"GPR50","up",0.777354423036941,9.2016318863868,2.45383101300859,0.0220666616304708,0.820516803126397,TRUE,"up",TRUE
"NEUROG3","down",0.84415286565805,8.7189907476582,2.45334728083976,0.0220900834652582,0.820516803126397,TRUE,"up",FALSE
"ATP2A1","up",0.864992797230324,8.71199898230403,2.41258430162647,0.024148537469256,0.83731547380709,TRUE,"up",TRUE
"ATP6V1G3","down",0.708807641141373,8.42542027240991,2.41234779207839,0.0241609817032307,0.83731547380709,TRUE,"up",FALSE
"MARCH4","down",0.877079085551715,8.39516558309938,2.40963959527093,0.0243038994213681,0.83731547380709,TRUE,"up",FALSE
"ADAMTS4","down",1.74847576290803,13.6092204738778,2.4082908607878,0.0243753659637465,0.83731547380709,TRUE,"up",FALSE
"PPP1R9B","down",0.812943446103725,8.97748023744603,2.40791944858583,0.0243950803348512,0.83731547380709,TRUE,"up",FALSE
"TNFSF14","down",1.05578671598684,9.39660608765199,2.40239669252462,0.0246899670209213,0.83731547380709,TRUE,"up",FALSE
"MAGEA1","up",0.703323891920044,8.13510704353855,2.40108205267615,0.0247606449573234,0.83731547380709,TRUE,"up",TRUE
"IFNAR1","down",0.745636338473712,9.96072811596391,2.3951490049473,0.0250819463846133,0.842029590851788,TRUE,"up",FALSE
"MYCL1","up",0.69036173783303,8.88333493292293,2.39310387834215,0.0251935872994001,0.842412776542514,TRUE,"up",TRUE
"LY96","up",0.726128575962756,13.5764243924301,2.39180732153994,0.0252646018115089,0.842412776542514,TRUE,"up",TRUE
"GAB2","down",0.947730968993452,11.3082145849777,2.3873970122506,0.0255075451072367,0.846143357695898,TRUE,"up",FALSE
"CPVL","up",0.685922441477349,13.9140442951049,2.37930857056589,0.0259587014828203,0.847837891168419,TRUE,"up",TRUE
"RNF175","up",1.04416825725928,8.72649736613896,2.37501440652136,0.0262011963198673,0.849949402325211,TRUE,"up",TRUE
"TAGAP","up",0.715481234065908,10.5248412048881,2.37420374427718,0.0262472083951443,0.849949402325211,TRUE,"up",TRUE
"PTAFR","down",0.884333317725084,10.6624458565974,2.37054957543737,0.0264555386088654,0.852275351491755,TRUE,"up",FALSE
"AKAP12","down",0.772402931655343,15.4966237131043,2.36194603484983,0.0269520626017927,0.863290540545375,TRUE,"up",FALSE
"PLXDC1","up",0.751082742577383,10.3766632267184,2.35621794700128,0.0272873761425725,0.86895642627951,TRUE,"up",TRUE
"AKR1C4","up",0.897992821586052,10.7411941158028,2.3561133396138,0.0272935351963169,0.86895642627951,TRUE,"up",TRUE
"IL5RA","up",0.69073481434014,8.32433694655769,2.35226099939297,0.0275212443198112,0.86895642627951,TRUE,"up",TRUE
"ATOH7","up",0.739395065478982,9.615849862487,2.34848430321536,0.0277461752596161,0.86895642627951,TRUE,"up",TRUE
"SLC39A3","down",0.605075452803582,10.4774649424051,2.34783965133837,0.0277847374553334,0.86895642627951,TRUE,"up",FALSE
