"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"SYN1",0.608662744303684,8.76070929880359,1.53591421880923,0.138103832694845,0.974763679508199
"FLJ32065",0.398118004772001,12.8923092620001,1.5358588408671,0.138117376189844,0.974763679508199
"PFKFB3",0.482855549902658,14.6292302473907,1.5355891133865,0.138183357629459,0.974763679508199
"ARSA",0.720846623435923,9.45847380470989,1.53538078577701,0.138234336985918,0.974763679508199
"KLHL2",0.414055270244237,13.0626090595363,1.53518106578905,0.138283224489421,0.974763679508199
"ST6GAL1",0.573535443220688,9.22843892183017,1.5350486848256,0.138315636553707,0.974763679508199
"PLCXD2",0.581526206735319,8.36395146055414,1.53459251981161,0.13842737146302,0.974763679508199
"FLJ35821",0.47309854378535,9.8336494587386,1.53449519189377,0.138451220947392,0.974763679508199
"MGC4504",-0.506357093258526,8.5783080699703,-1.5341558147965,0.138534409177115,0.974763679508199
"DKFZP434H0115",0.578271692036402,10.4705673965806,1.53410452476686,0.138546984974955,0.974763679508199
"MLNR",0.446383181759794,8.68757233414767,1.5337222424929,0.138640746255607,0.974763679508199
"HIST1H3E",0.572788277341886,9.74955972147433,1.53348322103756,0.138699396822628,0.974763679508199
"C1S",0.437591238602392,17.4216502051577,1.53324609899406,0.138757601436558,0.974763679508199
"GSTZ1",0.575403443601059,9.80245102534716,1.53318397491214,0.138772853894143,0.974763679508199
"IER5",0.527457979873771,13.3026045038058,1.53317952840934,0.138773945634594,0.974763679508199
"ACVR1B",0.446129551991131,8.76883232553047,1.53300053599153,0.138817899118628,0.974763679508199
"H2AFZ",0.411081951780083,17.1058093630499,1.532849383793,0.138855025038792,0.974763679508199
"AEBP1",0.564144023894467,14.7264848095484,1.53278954914225,0.138869723843931,0.974763679508199
"FLJ41238",-1.10035610154989,11.0433284398915,-1.53192681038074,0.139081803691204,0.974763679508199
"EIF5A2",0.48228494285281,9.54015503091058,1.5317736112558,0.13911949111978,0.974763679508199
"DERA",0.37132206259227,13.709956269363,1.53173283324516,0.139129524040337,0.974763679508199
