"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"C10orf137","down",-0.329914030249999,7.95297233895833,-5.00304497058144,0.000181021703739993,0.0129303594910553,TRUE,"down",TRUE,FALSE
"GNLY","up",-0.542198106499999,7.43251386266667,-5.00136016014074,0.000181596210786231,0.0129416455540133,TRUE,"down",FALSE,FALSE
"SCD5","down",0.237802885583334,7.906220799125,4.97826845728666,0.000189663330073136,0.0132134954978307,TRUE,"up",FALSE,FALSE
"A4GALT","up",0.387438433583334,9.90326882620833,4.96012632238614,0.000196261059195744,0.0132255694020303,TRUE,"up",TRUE,FALSE
"RHOB","up",0.639568243416668,8.64575213179167,4.96032689898668,0.000196186831606998,0.0132255694020303,TRUE,"up",TRUE,FALSE
"EARS2","up",-0.39629532425,7.359290022375,-4.95175038451059,0.000199386842513647,0.0133233289689979,TRUE,"down",FALSE,FALSE
"HAGH","up",0.259653975250001,10.2242621830417,4.93754201514685,0.00020480754892619,0.0134825850852427,TRUE,"up",TRUE,FALSE
"XRCC4","up",0.189689215750001,7.66988624154167,4.93395865235359,0.000206198582588032,0.0135041211735317,TRUE,"up",TRUE,FALSE
"ZBTB9","up",-0.244424799749999,7.04645305720833,-4.93334310416808,0.000206438515622669,0.0135041211735317,TRUE,"down",FALSE,FALSE
"CAMK1D","up",0.305128122166669,9.79837205658333,4.93120696758523,0.000207273397870979,0.0135048263827796,TRUE,"up",TRUE,FALSE
"CSF3","up",2.01840946658333,7.91928216695833,4.93109167847564,0.000207318556404025,0.0135048263827796,TRUE,"up",TRUE,TRUE
"ABCC9","up",0.304882715333334,8.54279257891667,4.91050914456959,0.000215546070951584,0.0135620572108562,TRUE,"up",TRUE,FALSE
"KCTD6","up",-0.260519264249999,9.442996817125,-4.91786406886678,0.000212567961749317,0.0135620572108562,TRUE,"down",FALSE,FALSE
"POLE2","up",-0.238775717333332,6.56226119008333,-4.89445508338633,0.000222197428321839,0.0137644842641019,TRUE,"down",FALSE,FALSE
"CDKN2A","down",0.530188174166667,6.83327371233333,4.88335159329073,0.000226921586189986,0.0138543359077,TRUE,"up",FALSE,FALSE
"ZNF490","down",-0.311220751499999,6.73168922416667,-4.88901106604478,0.000224500833246388,0.0138543359077,TRUE,"down",TRUE,FALSE
"AREG","down",1.67283713541667,7.17099180879167,4.86936157890879,0.000233022104161332,0.0139673214458913,TRUE,"up",FALSE,TRUE
"TGFBR1","up",0.499303211750001,8.67674047129167,4.87068374218926,0.000232438372604513,0.0139673214458913,TRUE,"up",TRUE,FALSE
"UFM1","up",0.283517468083336,9.739465423875,4.86591700760215,0.000234550000469185,0.0140152646434202,TRUE,"up",TRUE,FALSE
"APOLD1","down",1.564247208,10.78690251775,4.85770360158067,0.000238235119430793,0.0140592735363518,TRUE,"up",FALSE,TRUE
"ID3","up",0.436467025833335,12.36510385625,4.85242700193596,0.000240634102771349,0.0140592735363518,TRUE,"up",TRUE,FALSE
"CCNT1","down",0.205988046916667,6.68735741579167,4.82266407645932,0.000254641212898223,0.014475279474458,TRUE,"up",FALSE,FALSE
"SWAP70","down",0.319875640750002,9.38211685329167,4.82710223388377,0.000252500203964667,0.014475279474458,TRUE,"up",FALSE,FALSE
"NHEJ1","up",-0.214066503083333,7.13113272970833,-4.81850250704588,0.000256665832215384,0.0145266315821428,TRUE,"down",FALSE,FALSE
