"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"03015",34,0.352974792821527,1.02497119586985,0.5,"DDX39B/SAP18/PABPC1/PPP2R5B/HBS1L/CSTF2T/CSTF1/PABPC4/PABPC4L/DAZAP1/GSPT2/PABPC3/PPP2R2A/NUDT21/PPP2R5A/PCF11/FIP1L1/PPP2R5C/PPP2R2B/PPP2CA/NCBP1/NXF1/GSPT1/ALYREF/CPSF7/SMG1/PPP2R3A/UPF3A/UPF2/CPSF6/ACIN1/UPF3B/PABPN1/SMG7",0.840336134453782
"03440",6,0.397489961728759,0.940628750865079,0.5,"RPA2/XRCC3/XRCC2/RAD51D/BLM/TOP3B",0.840336134453782
"05340",11,0.355316297233009,0.968250266919808,0.5,"IL2RG/UNG/IGLL1/CD8A/JAK3/IKBKG/CD8B/CD40/RFXAP/PTPRC/ZAP70",0.840336134453782
"00240",23,0.280431321167302,0.760288202981964,0.55,"CMPK1/NME2/NME1-NME2/RRM2B/NME3/POLE2/DPYD/DCK/ENTPD1/AK3/TK2/RRM1/UMPS/TK1/PNP/ENTPD4/CTPS1/POLR3H/DHODH/DUT/NME1/UCKL1/UPP1",0.873015873015873
"00410",7,0.343118354586895,0.817383538657516,0.55,"DPYD/ALDH3A2/HIBCH/SRM/ALDH9A1/GAD1/AOC2",0.873015873015873
"00532",5,0.357870779782319,0.88962610353328,0.55,"CSGALNACT1/CHST12/B3GALT6/CHST14/CHST15",0.873015873015873
"02010",15,0.348426803797124,1.01502653762689,0.55,"ABCC5/ABCC6/ABCB8/ABCB11/ABCB6/ABCC4/ABCB10/ABCA6/ABCA2/ABCC9/ABCA9/ABCG1/ABCD1/ABCC3/ABCC11",0.873015873015873
"03420",11,0.379671655662378,0.929426563422266,0.55,"RPA2/GTF2H5/GTF2H3/ERCC3/POLE2/RFC3/RFC1/CUL4B/CETN2/ERCC1/GTF2H1",0.873015873015873
"05014",13,0.314350399730025,0.863569281936393,0.55,"GPX1/BAX/GRIN2C/ALS2/RAC1/TNFRSF1A/DERL1/CAT/MAP2K6/MAPK14/MAPK11/NEFM/GRIN1",0.873015873015873
"05110",27,0.388193648374747,1.08229377667412,0.55,"KDELR1/SEC61B/ACTG1/SEC61G/ATP6V1H/KDELR2/ATP6V0B/TCIRG1/ATP6V1B1/ATP6V0C/SEC61A2/ARF1/ATP6V1E1/KCNQ1/PRKCB/GNAS/ADCY9/ATP6V0D1/SEC61A1/ATP6V1G2/ATP6V0E2/ATP6V0A1/ATP6V0A4/ATP6V1G3/PRKACA/PRKACG/TJP1",0.873015873015873
"00052",8,0.369453780161821,0.92714557447183,0.6,"PGM1/LALBA/AKR1B1/PGM2/GALK2/GALT/GLA/HK1",0.916030534351145
"00604",6,0.471749426410062,0.97041027157266,0.6,"SLC33A1/ST3GAL5/ST8SIA1/HEXB/B4GALNT1/ST3GAL1",0.916030534351145
"03040",43,0.247370631744576,0.878786369410257,0.6,"LSM2/DDX39B/PHF5A/LSM5/SF3B1/CTNNBL1/PRPF4/SRSF7/SRSF1/SF3B2/SRSF5/SRSF6/PCBP1/SRSF8/BCAS2/SRSF3/SNRPA/SNRNP40/AQR/PLRG1/HNRNPC/SNRPC/SNRPG/ZMAT2/SF3A1/PPIH/LSM4/SNRPB/SNRPB2/NCBP1/SRSF9/RBM25/SNRPF/U2AF2/HNRNPA1/ALYREF/SNRPD3/PQBP1/SRSF4/HNRNPM/ACIN1/DDX46/THOC2",0.916030534351145
"04141",63,0.270221604414034,0.92989273707528,0.6,"SEC61B/UBE2E3/SEC61G/SSR4/EIF2AK1/BAX/WFS1/UBE2D4/DNAJB12/DERL2/UBE2D1/ATF4/DAD1/PREB/PLAA/TXNDC5/DDOST/BCAP31/PDIA6/SSR3/RPN2/SEC61A2/UBE2G1/DERL3/ERP29/OS9/EDEM2/RNF5/SEC13/UBE2E2/NFE2L2/DERL1/CAPN2/NGLY1/SEC61A1/SKP1/BAG2/HSPBP1/HERPUD1/TRAM1/MAN1B1/SIL1/CRYAB/UBE2J2/MOGS/UBE2J1/MAN1A1/MAPK10/HSP90AA1/SEL1L/UBE2D3/UBQLNL/DNAJB11/CRYAA/EDEM1/LMAN1L/EDEM3/NPLOC4/SEC24D/HSP90B1/RRBP1/SEC63/ATXN3L",0.916030534351145
"04950",7,0.264481390747449,0.836880609089333,0.6,"FOXA3/INS/HHEX/HES1/MNX1/NEUROG3/HNF4A",0.916030534351145
"00030",7,0.393302623808656,0.874406544233064,0.65,"ALDOB/PGM1/PGM2/DERA/RPE/FBP1/TKTL1",0.948905109489051
"04260",25,0.304004191225675,0.864953748996293,0.65,"UQCRB/CACNA1S/COX7A2/ATP1B3/ATP1B4/ATP2A2/COX6C/UQCRFS1/COX5B/UQCR11/COX6A1/COX7A2L/UQCRQ/COX6B1/COX4I2/COX7C/TPM4/COX5A/ATP1A2/CACNA1C/SLC9A1/CACNG1/CACNB2/CACNB4/ATP1B1",0.948905109489051
"04672",18,0.267356079530588,0.845015357792821,0.65,"HLA-DPA1/IL15/HLA-DQB1/TGFB1/HLA-DQA2/CCL25/HLA-DMB/LTBR/CD86/HLA-DQA1/HLA-DMA/HLA-DRB1/CD40/HLA-DRA/TNFSF13/CXCL12/HLA-DOA/CCL27",0.948905109489051
"04744",5,0.342907027471156,0.847629577793763,0.65,"SLC24A1/PDE6G/RGS9/PDE6B/GUCA1B",0.948905109489051
"05130",21,0.272734074987607,0.820714925421128,0.65,"ARPC3/ACTG1/LY96/CDC42/TUBA1C/TUBB3/TLR5/OCLN/NCK1/CD14/ABL1/YWHAZ/TUBB/TUBA4A/RHOA/ARPC5/TUBB2A/CDH1/TLR4/ITGB1/ROCK1",0.948905109489051
"05310",13,0.297285291130064,0.891420789698802,0.65,"HLA-DPA1/FCER1A/HLA-DQB1/FCER1G/HLA-DQA2/HLA-DMB/HLA-DQA1/HLA-DMA/HLA-DRB1/CD40/HLA-DRA/HLA-DOA/IL9",0.948905109489051
