"PATH","Nh","NES_normal_fenotipo","pvalue_normal_fenotipo","p.adjust_normal_fenotipo","NES_preranked_genesetperm","pvalue_preranked_genesetperm","p.adjust_preranked_genesetperm","Direcao_normal","Direcao_preranked","Direcao_concorda","Sig_normal_FDR05","Sig_preranked_FDR05","Sig_so_no_preranked"
"05323",85,-1.42005657562534,0.00199600798403194,0.00659287485634791,-0.825168311233182,0.531468531468531,0.541402522710934,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"05330",36,-2.14251282992377,0.00199600798403194,0.00659287485634791,-1.59876744309456,0.00899100899100899,0.0343866659656133,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"05332",38,-2.49401086277495,0.00199600798403194,0.00659287485634791,-1.53560970646669,0.012987012987013,0.0449391877963307,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"05340",34,-2.48765702956513,0.00199600798403194,0.00659287485634791,-1.45222109484162,0.028971028971029,0.0734381897172595,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00534",26,-1.1311381340152,0.00399201596806387,0.0127979335446754,-1.0459185674314,0.231768231768232,0.32388124695817,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00650",25,-1.1446286919506,0.00399201596806387,0.0127979335446754,-0.79338343004702,0.454545454545455,0.481023830538394,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00030",26,-0.796631184629402,0.00598802395209581,0.0183857636838998,-0.515158847091145,0.594405594405594,0.597144790693178,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00061",5,-1.52811376214927,0.00598802395209581,0.0183857636838998,-1.227423285294,0.11988011988012,0.207411635983065,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00592",17,-1.28482899137038,0.00598802395209581,0.0183857636838998,-1.0499825068719,0.215784215784216,0.313606393606394,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00532",15,-1.18626135816034,0.00798403193612774,0.0238427255078883,-0.823544815687797,0.38961038961039,0.431164794801158,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00750",6,-1.49115203700642,0.00798403193612774,0.0238427255078883,-1.17835413468348,0.137862137862138,0.230981140072049,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00533",14,1.46921104167589,0.0159680638722555,0.0464138389886893,1.67899793538773,0.004995004995005,0.0241980241980242,"para cima no POP","para cima no POP",TRUE,TRUE,TRUE,FALSE
"00740",9,-0.850670780310407,0.0159680638722555,0.0464138389886893,-0.634769375218619,0.509490509490509,0.523910052211939,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00100",16,-1.31621871993415,0.0179640718562874,0.0515285219035613,-0.951274456997858,0.27972027972028,0.364688565871998,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"00430",7,-1.32487200821051,0.0199600798403194,0.0565103559115535,-1.03416529548737,0.222777222777223,0.319509437930491,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"00130",7,-1.16833305009977,0.0219560878243513,0.0590916931568961,-0.829626580452265,0.368631368631369,0.416381545915225,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"00630",16,-1.00217700425022,0.0219560878243513,0.0590916931568961,-0.750722528466156,0.457542457542458,0.48163375086452,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"04350",80,1.45030575908102,0.0219560878243513,0.0590916931568961,2.06338031687146,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05130",45,1.60138694933214,0.0219560878243513,0.0590916931568961,2.11460021940745,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04122",7,-1.43289000080669,0.0239520958083832,0.0636775230027749,-1.37837504045991,0.0599400599400599,0.129375574920129,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"00460",5,-1.30669191247189,0.0339321357285429,0.0870259481037924,-1.17129769474664,0.154845154845155,0.244417453050547,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"00524",5,-1.27391185543287,0.0339321357285429,0.0870259481037924,-1.04202875180434,0.233766233766234,0.324592604847382,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"05144",48,1.48598014612788,0.0339321357285429,0.0870259481037924,1.9970325638106,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00232",7,-1.16443418265748,0.0379241516966068,0.0961333147658172,-0.954362733275979,0.274725274725275,0.362970362970363,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"04964",23,1.51415015947739,0.0578842315369262,0.143395028125567,1.82986675421351,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05410",82,1.42249232011003,0.0578842315369262,0.143395028125567,2.03848690642705,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00450",11,1.4414535839957,0.06187624750499,0.149878021734309,1.60885802474807,0.013986013986014,0.0476398601398601,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05010",140,1.61747811323209,0.06187624750499,0.149878021734309,2.3990303333808,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04260",68,1.59780738159824,0.0678642714570858,0.160808817148312,2.16246959125887,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04621",44,1.43788552351771,0.0678642714570858,0.160808817148312,1.90040869730303,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05012",96,1.74350199063867,0.0718562874251497,0.168437318910566,2.44685180903064,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04530",119,1.33386533376176,0.0778443113772455,0.180532551917442,1.9982233988223,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04920",66,1.26272474087814,0.12375249500998,0.28102129075183,1.76559192437566,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05014",49,1.25226054672831,0.12375249500998,0.28102129075183,1.70068963669783,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
