"Gene","logFC_GSE12852","P.Value_GSE12852","adj.P.Val_GSE12852","logFC_GSE53868","P.Value_GSE53868","adj.P.Val_GSE53868","Dir_12852","Dir_53868","Concordante"
"TAS2R39",0.231877741885895,0.41149471948208,0.974763679508199,0.0911637628333339,0.245132810941952,0.500313104413318,"up","up",TRUE
"TAS2R4",-0.114136003982603,0.729474585809411,0.978316504904325,0.0108285721666673,0.817928645369918,0.919264932725243,"down","up",FALSE
"TAS2R40",0.993725574743491,0.00942641238591851,0.700198817717551,-0.113333425583333,0.0579379937239914,0.222748000617652,"up","down",FALSE
"TAS2R43",0.450835666080031,0.200306642583309,0.974763679508199,-0.0798414349999998,0.16441469787307,0.399709998616073,"up","down",FALSE
"TAS2R44",-0.770035841979496,0.0281818091584826,0.869564822334274,-0.060219956333332,0.274720788392081,0.532328573686143,"down","down",TRUE
"TAS2R45",-0.129536467524628,0.735392020293556,0.978486027616002,-0.131661559916666,0.0883227349474286,0.283197846138955,"down","down",TRUE
"TAS2R46",0.0598274068597262,0.869857709239187,0.991908372835379,0.0174565365833337,0.77269594655914,0.898985601208881,"up","up",TRUE
"TAS2R48",0.23466431117972,0.443655058321456,0.974763679508199,-0.0736843002500002,0.249285272295437,0.505006648895803,"up","down",FALSE
"TAS2R49",-0.0488392450101345,0.880858671017781,0.991908372835379,-0.0646171504999993,0.340889023245698,0.599847306053366,"down","down",TRUE
"TAS2R5",0.1951706427175,0.619248704622599,0.974763679508199,-0.233095818416667,0.000286872091366814,0.015263167162585,"up","down",FALSE
"TAS2R50",0.78661232144896,0.028599742258273,0.870127158638673,0.0771071429166675,0.231749597264913,0.485073997050548,"up","up",TRUE
"TAS2R7",0.685207142665145,0.0507330793623424,0.912671457453715,0.0334813413333337,0.595593523344246,0.798526290534882,"up","up",TRUE
"TAS2R8",0.738058933572544,0.0579882562929457,0.927812100687131,0.0677323857500007,0.269886433494091,0.527203582715974,"up","up",TRUE
"TAS2R9",0.0815044653065136,0.826674796195699,0.989112397484782,-0.011216442916666,0.84606163061509,0.931758144729966,"up","down",FALSE
"TAT",0.635968040845407,0.0878810153292738,0.963518020108213,-0.0510580675833328,0.564947664179449,0.779050914428153,"up","down",FALSE
"TATDN1",0.177030959268703,0.486862261357906,0.974763679508199,0.0313348411666666,0.636400443161039,0.824407344696899,"up","up",TRUE
"TAX1BP1",0.373084800069029,0.183901599612401,0.974763679508199,0.0778098116666688,0.0608675562014202,0.229109629556049,"up","up",TRUE
"TAX1BP3",-0.202801341175247,0.553142598461934,0.974763679508199,-0.0253015616666662,0.749107687362631,0.886715202351683,"down","down",TRUE
"TAZ",0.240994665869252,0.40094694781574,0.974763679508199,0.0276426379166677,0.642392492075297,0.82761742713736,"up","up",TRUE
"TBC1D1",0.290134832858453,0.355408078744095,0.974763679508199,-0.164270130833332,0.280458372634982,0.53882412381835,"up","down",FALSE
"TBC1D13",0.126381050448264,0.637547938120702,0.974763679508199,-0.136038739166665,0.0151710810864576,0.101994158156104,"up","down",FALSE
"TBC1D14",-0.0324717442755058,0.927231051571487,0.995285435937458,-0.144663147833331,0.010833188032639,0.0843842613562697,"down","down",TRUE
"TBC1D15",-0.0319765131169984,0.912059484871662,0.993667661871804,0.122433275666667,0.0411552831224535,0.180720316164623,"down","up",FALSE
"TBC1D17",0.246142688458717,0.554649523688004,0.974763679508199,0.0512617707500015,0.37657800337735,0.633247805428748,"up","up",TRUE
"TBC1D19",0.282092992910194,0.400310370064093,0.974763679508199,-0.016616221333333,0.851243076762397,0.933968431580261,"up","down",FALSE
"TBC1D20",-0.307683148540271,0.400922870681285,0.974763679508199,-0.0118696160000001,0.761640923250029,0.892978143808954,"down","down",TRUE
"TBC1D21",0.651209643430282,0.171577182465407,0.974763679508199,-0.0508224386666665,0.383415581686061,0.639444418128349,"up","down",FALSE
"TBC1D22A",0.250351378696106,0.586922357523308,0.974763679508199,0.107725445750001,0.0263046372315838,0.139364362745789,"up","up",TRUE
"TBC1D22B",0.707306573127998,0.0313434410647868,0.881924573660142,0.0523987996666676,0.216988240529206,0.467757639081691,"up","up",TRUE
"TBC1D4",0.0977529523312737,0.740883160222449,0.979060696795928,-0.0656139577499993,0.476116028796588,0.714946566031483,"up","down",FALSE
"TBC1D5",0.362336698549943,0.289452123802027,0.974763679508199,-0.0387909273333316,0.405059291792711,0.657618515124611,"up","down",FALSE
"TBC1D7",0.0700034215234553,0.806013328890289,0.98600519494439,-0.0136708844166659,0.772663732871082,0.898985601208881,"up","down",FALSE
"TBC1D8",0.195823904343981,0.517796813994915,0.974763679508199,-0.0575583865833334,0.322792636548542,0.582993556624118,"up","down",FALSE
"TBCA",0.0689129620890707,0.841460485845308,0.989112397484782,0.0200422666666683,0.73778239610796,0.881044203818942,"up","up",TRUE
"TBCC",0.0519291390860882,0.850976426709181,0.990325515165728,-0.101520716166665,0.0786976054767737,0.266081827788282,"up","down",FALSE
"TBCD",0.187936023583792,0.520755213348861,0.974763679508199,-0.0315986433333336,0.506436014963372,0.737240065132937,"up","down",FALSE
"TBCE",0.232051094675533,0.411907810654988,0.974763679508199,-0.0318546033333323,0.557489446048615,0.7745012108103,"up","down",FALSE
"TBK1",0.204885240709695,0.416765790184653,0.974763679508199,-0.0795326715833321,0.168460645826583,0.405268891772229,"up","down",FALSE
"TBL1X",-0.177287072427795,0.625127076936536,0.974763679508199,-0.223778030833333,0.0924499016995048,0.291503774178685,"down","down",TRUE
"TBL1XR1",0.11708741261027,0.705597859807911,0.978316504904325,-0.0723342674999993,0.188666776878817,0.431814325642968,"up","down",FALSE
"TBL1Y",-0.749633886059789,0.120112197502084,0.974763679508199,-0.0116907609999994,0.926578387498303,0.969349303267475,"down","down",TRUE
"TBL2",0.132772931733483,0.608742313157908,0.974763679508199,-0.240105856666665,0.00566315837406851,0.0584797796607035,"up","down",FALSE
"TBL3",0.0683467257550481,0.84025991380081,0.989112397484782,0.087012895500001,0.205794848975844,0.453765082839726,"up","up",TRUE
"TBN",0.591141190245415,0.134844911833716,0.974763679508199,-0.109611798249998,0.140422888491495,0.367893759798291,"up","down",FALSE
"TBP",0.23283240455943,0.418429641375699,0.974763679508199,-0.135171292916667,0.0140508762637505,0.0977802524674704,"up","down",FALSE
"TBPL1",0.110821085854634,0.688304555432459,0.976039958285367,0.0367324910833341,0.439730917478948,0.687354175703581,"up","up",TRUE
"TBR1",0.770532880829282,0.0503571113530176,0.912671457453715,0.016401766166667,0.771520779159674,0.898257405952091,"up","up",TRUE
"TBRG1",0.501989925443767,0.061593368220715,0.93801100403038,0.0031180726666687,0.955551695618188,0.981517430950358,"up","up",TRUE
"TBRG4",0.0863268124548987,0.796318826888964,0.984228877695649,-0.0640445561666663,0.253525352299566,0.509873122760655,"up","down",FALSE
"TBX1",-0.0882305813555271,0.782303678510115,0.982542451821971,-0.171426866916666,0.170471928679658,0.40776557377938,"down","down",TRUE
"TBX10",0.476874427703211,0.319994231445659,0.974763679508199,0.0683660306666666,0.21828685340127,0.469273178644473,"up","up",TRUE
"TBX15",-0.347435306833144,0.241602765589444,0.974763679508199,0.00989476316666739,0.918387606424065,0.965901510067801,"down","up",FALSE
"TBX19",-0.306264315950634,0.512791330271957,0.974763679508199,-0.246026026833332,0.00586791450396182,0.0596311245595951,"down","down",TRUE
