"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"ACVRL1","up",1.39022446470532,0.17648182375,0.164763857773859,"up",TRUE
"ADAM12","down",-2.46428862099105,-0.374214798416666,0.345857891008763,"down",TRUE
"ADAM29","up",1.73852985354125,0.0307063103333339,0.829642015850835,"up",TRUE
"ADAM33","up",1.36068497714903,0.00564307333333425,0.977160441646606,"up",TRUE
"ADAM8","up",1.67626767910974,-0.153008321499999,0.437979973205437,"down",FALSE
"ADAMTS12","down",-1.82191801345352,-0.0153874852499991,0.913690470266169,"down",TRUE
"ADAMTS2","up",1.86533837421798,0.154534873416667,0.338019820325965,"up",TRUE
"ADAMTS4","down",-3.27038246776068,1.88417706375,0.00853743118443771,"up",FALSE
"ADAR","down",-1.32225549180225,-0.0902207474999981,0.266424591428796,"down",TRUE
"ADARB2","up",1.4006441604892,-0.0597813581666662,0.781482833705447,"down",FALSE
"ADCK5","up",1.65663008536888,-0.0424929547499996,0.682417190076538,"down",FALSE
"ADCY9","up",1.30322378230858,0.0941072311666674,0.388952616546196,"up",TRUE
"ADCYAP1","up",1.95650058465781,-0.137539052,0.560097802802891,"down",FALSE
"ADH1A","up",3.48218016574633,0.130070073,0.794372405522633,"up",TRUE
"ADH1C","up",3.34880830566278,0.136635432666668,0.806460502924512,"up",TRUE
"ADH7","up",4.49006516941542,-0.0443574361666665,0.738363224986672,"down",FALSE
"ADHFE1","up",3.92963530321111,-0.144214458999999,0.392187341571477,"down",FALSE
"ADIPOR1","up",3.45038220290955,0.00960838033333425,0.932347901696131,"up",TRUE
"ADM","up",2.33526434250866,-0.144011794999999,0.556638027125277,"down",FALSE
"ADORA1","up",2.40737532281802,0.0100219685000009,0.962520813433122,"up",TRUE
"ADORA2A","down",-6.4806442660708,0.0154418852500015,0.861969425207757,"up",FALSE
"ADRA1D","up",2.94969839184328,0.151110053583334,0.0475015318488999,"up",TRUE
"ADRB2","up",1.2325853049362,-0.0249143836666651,0.900345620859929,"down",FALSE
"ADRBK1","down",-1.70935103352669,0.0111073533333341,0.930379285228158,"up",FALSE
"ADRM1","up",1.85940106207759,0.0742321956666681,0.447896683853266,"up",TRUE
