"TERM_ID","Count","geneID","p.adjust","par"
4142,37,"IDS/NPC2/DNASE2B/ARSA/ASAH1/CLTC/AP4S1/TPP1/DNASE2/HEXB/CD164/GUSB/ATP6V0B/AP4M1/LAMP2/CTNS/ATP6V0D1/ABCA2/TCIRG1/CLN5/LAMP1/NAPSA/AP1B1/ATP6V0C/ENTPD4/HYAL1/ATP6V1H/GGA2/SMPD1/PPT1/CLN3/SUMF1/LAPTM4A/AP4B1/CTSB/ATP6V0A4/IDUA",1.22225819129609e-05,"Wei2020_x_GSE12852"
4144,3,"SMAD2/TGFB3/MET",0.00592811991309436,"Chen2003_x_GSE53868"
4144,30,"TGFBR1/CDC42/SMURF1/ARF6/GRK5/SMAD3/PARD6B/TGFBR2/IL2RA/CSF1R/EHD4/GIT2/PML/RABEP1/ERBB4/VPS4A/RHOA/TGFB1/HLA-A/TRAF6/RAB11FIP2/NEDD4L/FOLR3/CHMP6/PIP5K1A/AP2A1/MET/EHD1/HLA-F/CLTA",5.13148251899689e-05,"Wei2020_x_GSE53868"
4144,3,"TGFB3/MET/SMAD2",0.0355635702898485,"Chen2003_x_GSE12852"
4145,25,"CD209/HLA-DOA/TUBB3/ITGA2/ITGAV/FCAR/ITGB5/TUBB2A/ATP6V0A1/VAMP3/ATP6V1E1/FCGR2B/THBS2/ATP6V0B/HLA-A/M6PR/ATP6V1G3/ATP6V0A4/SEC61G/HLA-F/ATP6V1H/TUBB/FCGR3A/SEC61B/MBL2",7.65328432905263e-05,"Wei2020_x_GSE53868"
4145,39,"THBS2/FCAR/TLR6/ITGA2/HLA-DQA1/MBL2/HLA-DQA2/FCGR2B/ACTG1/ATP6V1G2/ATP6V0B/HLA-DRB1/LAMP2/ATP6V0D1/SEC61A2/HLA-DMA/HLA-DMB/HLA-DPA1/HLA-DRA/ATP6V1B1/TCIRG1/LAMP1/ITGB5/VAMP3/HLA-DQB1/ATP6V0C/TUBB/CD14/MPO/ATP6V1H/CD36/PLA2R1/SEC61B/CYBA/HLA-DOA/ATP6V0A4/ATP6V1E1/SEC61G/HLA-F",5.89908585665815e-06,"Wei2020_x_GSE12852"
4310,24,"PRICKLE2/RAC2/WIF1/FZD6/PPP2R5A/PPP2R5B/SMAD3/FBXW11/TBL1X/PPP2CA/MMP7/PLCB1/TBL1XR1/AXIN1/APC/FRAT1/NFAT5/RHOA/SIAH1/MAPK10/FZD8/DKK1/NKD1/TBL1Y",0.00053586364716057,"Wei2020_x_GSE53868"
4310,32,"SFRP2/WIF1/WNT2/FZD6/LEF1/TBL1Y/FZD7/MAP3K7/PPP2CA/FZD2/NKD1/SIAH1/PPP2R5C/DKK1/PRICKLE2/CAMK2G/RHOA/NFAT5/FRAT1/NFATC3/CTBP1/CSNK2B/CTBP2/TBL1X/CACYBP/PRKACG/FRAT2/PPP2R5B/FZD1/FOSL1/CCND3/PPARD",0.0264461636030763,"Wei2020_x_GSE12852"
4350,2,"SMAD2/TGFB3",0.0136687668695303,"Chen2003_x_GSE53868"
4350,21,"TGFBR1/ID3/RPS6KB2/SMURF1/MAPK1/BMP2/FST/SMAD3/BMP6/TGFBR2/PPP2CA/BMP8A/ID1/THBS2/RHOA/TGFB1/SMAD5/NODAL/BMP5/ACVR1C/MAPK3",2.82033722207745e-06,"Wei2020_x_GSE53868"
4350,3,"TGFB3/DCN/SMAD2",0.0121064068199049,"Chen2003_x_GSE12852"
4350,23,"THBS2/FST/E2F4/MAPK1/BMP6/BMP8A/TGFBR1/PPP2CA/DCN/MAPK3/SMAD5/RHOA/GDF5/ID3/BMP2/TGFBR2/BMPR2/TGFB1/SMURF1/NODAL/PITX2/SP1/GDF6",0.00683101816240857,"Wei2020_x_GSE12852"
4360,2,"DPYSL2/MET",0.02210517220205,"Chen2003_x_GSE53868"
4360,19,"RAC2/ROBO1/CDC42/PLXNA3/MAPK1/ABL1/SLIT2/EPHB2/LRRC4C/CFL1/ABLIM3/SEMA3D/NFAT5/SEMA6C/RHOA/SEMA4A/MET/PLXNB3/MAPK3",0.00490467036271698,"Wei2020_x_GSE53868"
4380,31,"JUND/PIK3R1/TGFBR1/RELA/MAPK1/NFKB2/PIK3CA/TGFBR2/CSF1R/TNFRSF1A/MAP2K6/MITF/LILRB4/NFKB1/FCGR2B/GRB2/IKBKG/TREM2/TNFSF11/FHL2/TNFRSF11A/TGFB1/MAPK10/SYK/TRAF6/LILRA6/MAP2K1/GAB2/FCGR3A/MAPK3/CREB1",1.27119668973788e-08,"Wei2020_x_GSE53868"
4380,27,"TNFSF11/TREM2/MAPK1/MAP2K6/RELA/JUND/MAP3K7/LCP2/IFNGR2/FCGR2B/TGFBR1/MAPK3/SOCS1/MAPK14/IKBKG/PIK3CA/LILRA3/TGFBR2/TRAF6/LILRB4/LILRB5/TGFB1/CYBA/NFKB2/FOSL1/TNFRSF1A/SIRPB1",0.0290985257256763,"Wei2020_x_GSE12852"
4510,2,"ITGA2B/MET",0.0429302229090319,"Chen2003_x_GSE53868"
4510,32,"PIK3R1/RAC2/ITGB4/CDC42/ITGA10/MAPK1/VAV1/ITGA2/PIK3CA/ITGAV/ITGB5/SHC3/PPP1CA/RELN/GRB2/THBS2/ITGA11/PDPK1/LAMB4/RHOA/CRK/ELK1/MAPK10/FLT4/MAP2K1/MYLK2/MET/PTEN/COL1A2/ILK/CAPN2/MAPK3",2.91191393594076e-05,"Wei2020_x_GSE53868"
