"GeneSymbol","Direction","PValue","FDR","FoldChange","EntrezID","logFC"
"LRCH1","down",4.59389402e-05,0.008262911,27.8429532,23143,4.79924033556522
"GPR161","up",4.71282362e-05,0.008333909,4.2034493,23432,2.07157367210682
"RPL22L1","up",4.7971495e-05,0.008333909,17.9947635,200916,4.16950523634871
"ANAPC16","up",4.81570508e-05,0.008333909,4.7773348,119504,2.25620598574245
"SLC5A6","up",4.82586362e-05,0.008333909,6.3893659,8884,2.67567276085641
"NTRK2","down",4.84223838e-05,0.008333909,3.2648122,4915,1.70700000680355
"MAP2K5","up",4.90434017e-05,0.008333909,4.8945024,5607,2.29116219557095
"SSR3","up",4.92038907e-05,0.008333909,3.2034903,6747,1.67964462210414
"SCIN","up",5.01158486e-05,0.008402509,6.6403194,85477,2.73125263701101
"FLJ44635","up",5.08402771e-05,0.008402509,18.4125176,392490,4.20261499918016
"ATG2A","up",5.16982389e-05,0.008402509,8.2631775,23130,3.04669665839878
"GRAMD1A","up",5.22889726e-05,0.008402509,18.560876,57655,4.21419289646449
"UBASH3A","down",5.25553152e-05,0.008402509,167.1840996,53347,7.38529383313225
"LIMS1","down",5.25992756e-05,0.008402509,5.097418,3987,2.3497666624057
"FJX1","up",5.26534428e-05,0.008402509,7.22211,24147,2.85242039415057
"ALOX15B","up",5.31332962e-05,0.008402509,14.1996523,247,3.82778369847597
"PKP4","up",5.33295761e-05,0.008402509,3.9342083,8502,1.97607334435295
"CASP5","down",5.49591752e-05,0.008457925,5.8100428,838,2.53854879136136
"BEAN1","up",5.50461079e-05,0.008457925,3.26243,146227,1.70594694697408
"CLEC4A","up",5.5122293e-05,0.008457925,4.064977,50856,2.02324718942704
"PCDHB3","up",5.70920103e-05,0.008457925,3.9880896,56132,1.99569782298173
"TSPAN17","down",5.74349431e-05,0.008457925,2.652472,26262,1.40733752185659
"MKNK2","up",5.75759943e-05,0.008457925,6.9738419,2872,2.8019536579673
"SEPW1","up",5.80302231e-05,0.008457925,6.6513983,6415,2.73365766518732
"MARCH6","down",5.87975091e-05,0.008457925,4.3678035,10299,2.12690795333828
"ZXDA","up",5.98847339e-05,0.008457925,11.5381179,7789,3.52833600537126
"FAM208B","down",5.99608286e-05,0.008457925,4.5206884,54906,2.17654247964155
"C11orf10","up",6.01932455e-05,0.008457925,2.0215642,746,1.01547202084973
"RFC3","up",6.04540447e-05,0.008457925,2.8281803,5983,1.49987409667641
"ABCC5","up",6.09785083e-05,0.008457925,19.7078146,10057,4.300695899653
"CELF2","down",6.09961848e-05,0.008457925,8.1807478,10659,3.03223272556819
"EMR2","up",6.22354053e-05,0.008457925,2.4793712,30817,1.30997428123051
"RPL39L","up",6.24022163e-05,0.008457925,7.522558,116832,2.91122332498697
"CD209","down",6.24307702e-05,0.008457925,3.9312185,30835,1.97497655203622
"RGR","down",6.25262985e-05,0.008457925,125.4020683,5995,6.97041733298282
"SLC47A2","down",6.27621678e-05,0.008457925,3.0797584,146802,1.62281717923407
"SECTM1","up",6.31128705e-05,0.008457925,11.4541119,6398,3.51779369782188
"PCBP2","up",6.3114444e-05,0.008457925,7.0722243,5094,2.82216403142704
"AP2A1","up",6.34596042e-05,0.008457925,15.4385216,160,3.94846270096045
"TMEM235","up",6.40306739e-05,0.008457925,4.4177431,283999,2.14330952572529
"NANS","down",6.42468605e-05,0.008457925,4.2371695,54187,2.08310084215902
"TPT1","up",6.51367317e-05,0.008457925,9.3833083,7178,3.23009666757146
"RPL37A","up",6.51930695e-05,0.008457925,2.9279373,6168,1.54988465951417
"MOCS2","up",6.53011657e-05,0.008457925,21.0521577,4338,4.3958962019823
"KRTAP10-7","up",6.54801987e-05,0.008457925,2.4837738,386675,1.31253379172355
"ADAM8","up",6.57491796e-05,0.008457925,3.1960006,101,1.67626767910974
"NEU2","up",6.7121037e-05,0.00847263,6.0774857,4759,2.60347459367344
"ROBO1","down",6.71866156e-05,0.00847263,2.3924001,6091,1.25845868302115
"GOLGA8A","up",6.72523796e-05,0.00847263,2.862834,23015,1.51744401881092
"KEL","up",6.75309228e-05,0.00847263,4.913382,3792,2.29671640845216
"SEC61B","up",6.81976197e-05,0.008503783,12.469667,10952,3.64035103368259
"SLC2A9","up",6.88317294e-05,0.008525511,4.6492975,56606,2.21701274421404
"MEPCE","up",6.92107924e-05,0.008525511,8.1003868,56257,3.01799079949335
"KRT80","up",7.07438979e-05,0.008588561,3.6570314,144501,1.87067301399944
"LTF","up",7.11955942e-05,0.008588561,2.2895225,4057,1.19504674298871
"NGRN","up",7.22838045e-05,0.008588561,3.6336391,51335,1.86141513545087
"ATP8B2","up",7.2318755e-05,0.008588561,40.7120802,57198,5.34738503332799
"S100A4","up",7.25892093e-05,0.008588561,11.2920981,6275,3.49724166224215
"DGCR8","up",7.26805635e-05,0.008588561,3.2749321,54487,1.71146499519703
"MAP3K3","down",7.31535544e-05,0.008594486,7.112814,4215,2.83042043757649
"PCED1B","up",7.54047707e-05,0.008640759,6.4394894,91523,2.68694629869829
"KCNS3","up",7.60405325e-05,0.008640759,2.160298,3790,1.11123033714253
"POM121L12","down",7.67889767e-05,0.008640759,220.9735425,285877,7.78772983364919
"APH1B","up",7.68270066e-05,0.008640759,9.4565759,83464,3.24131789748398
"MRPS23","up",7.7621467e-05,0.008640759,7.8669459,51649,2.97580366240532
"RPS6","down",7.77907292e-05,0.008640759,2.2741845,6194,1.18534930191597
"MRFAP1","up",7.8239242e-05,0.008640759,37.6879417,93621,5.23603110028258
"GRM8","up",7.85888881e-05,0.008640759,4.2383804,2918,2.08351307722519
"ISYNA1","up",7.89428447e-05,0.008640759,7.5211413,51477,2.91095160112042
"ARMCX1","up",7.91661895e-05,0.008640759,2.5718857,51309,1.3628265276941
"ABCC6","up",7.93159441e-05,0.008640759,6.094039,368,2.60739873286433
"AMICA1","up",7.94992323e-05,0.008640759,6.9409367,120425,2.79513037191807
"SH3TC2","up",8.10970143e-05,0.008767536,5.4955134,79628,2.45825426644023
"TMSB15A","up",8.23336109e-05,0.008810231,3.7422006,11013,1.90388689606355
"SPOCD1","down",8.23588613e-05,0.008810231,8.7948583,90853,3.13666033363423
"NRXN3","down",8.29449066e-05,0.008824526,4.0325756,9369,2.01170158030534
"ZXDB","up",8.33608405e-05,0.008824526,3.8965568,158586,1.96219984662011
"CAMKK2","up",8.44142985e-05,0.0088729,4.460359,10645,2.15715983271866
"S1PR3","up",8.46908997e-05,0.0088729,15.4930534,1903,3.95354959607903
"LZTFL1","up",8.5172823e-05,0.008877629,12.5411039,54585,3.64859243831931
"CCL15","up",8.69794667e-05,0.008992091,10.3555877,6359,3.37233752655451
"TSEN54","up",8.79880403e-05,0.008992091,22.2648677,283989,4.47669713406001
"PDDC1","up",8.80406477e-05,0.008992091,5.28213,347862,2.4011198085189
"VASH2","down",8.86656049e-05,0.009010642,9.9999377,79805,3.32191910686926
"BIRC2","up",8.95333955e-05,0.009041378,5.707115,329,2.51276163402507
"KLK3","down",8.98577305e-05,0.009041378,4.3568436,354,2.12328332496888
"IL1F10","up",9.15692568e-05,0.009168203,11.945062,84639,3.57834243690768
"DACH1","up",9.29237556e-05,0.009208711,2.3557174,1602,1.23616647886597
"SLC50A1","up",9.29307954e-05,0.009208711,9.4725904,55974,3.24375900290599
"AKAP17A","up",9.33330582e-05,0.009208711,3.448924,8227,1.78614633812577
"F3","up",9.41785915e-05,0.00921979,13.0792049,2152,3.70920293528814
"UGCG","down",9.57619056e-05,0.009244351,12.9660925,7357,3.69667186513015
"WWTR1","up",9.64487804e-05,0.009244351,2.7405764,25937,1.45447935375781
"AANAT","down",9.65789954e-05,0.009244351,94.4003999,15,6.56072106604784
"SHBG","up",9.67107217e-05,0.009244351,11.6384151,6462,3.54082270269963
"PIAS3","up",9.68780696e-05,0.009244351,7.1732412,10401,2.84262514215971
"FBXO38","up",9.79669861e-05,0.009279284,6.1208753,81545,2.61373797655745
"HNRNPH3","down",9.81572504e-05,0.009279284,5.2172877,3189,2.38329999095029
"RBM15","up",9.94456602e-05,0.00935756,5.8409944,64783,2.54621400160934
"CDC42","up",9.99876548e-05,0.009365203,8.5507439,998,3.09604993744361
"EID1","up",0.0001005424549,0.00937397,14.9368038,23741,3.90079956595935
"RSPO3","down",0.0001010289107,0.009376313,4.6924763,84870,2.23034945854388
"ARHGAP24","up",0.0001019921732,0.009422686,4.1161539,83478,2.0412969245584
"SCN2B","up",0.0001040144923,0.009566039,14.9548783,6327,3.90254426501023
"FXN","down",0.0001059615503,0.009649965,2.8496349,2395,1.51077709061049
"EEF1B2","up",0.0001084237758,0.009649965,5.240531,1933,2.38971300112419
"RAB3IP","up",0.0001084358051,0.009649965,10.65211,117177,3.41306732674934
"CABS1","up",0.0001091875226,0.009649965,6.183542,85438,2.62843346628761
"VARS","up",0.0001092560938,0.009649965,6.5317625,7407,2.70747233433172
"ZKSCAN1","down",0.0001099244704,0.009649965,2.4610685,7586,1.29928481351935
"YARS2","down",0.0001102061608,0.009649965,12.9862535,51067,3.69891337197276
"CD1E","up",0.0001121479612,0.009649965,7.8637998,913,2.97522659339471
"FAM65A","down",0.0001123203538,0.009649965,2.4005925,79567,1.26339052721509
"KLF7","down",0.0001123653479,0.009649965,6.5111737,8609,2.70291762611664
"YAF2","down",0.0001135604057,0.009649965,79.1128789,10138,6.30584066711667
"CLEC10A","up",0.000115039084,0.009649965,5.7557442,10462,2.52500247644376
"ISCU","up",0.0001152722052,0.009649965,2.8423834,23479,1.50710116822323
"FOXA3","up",0.0001160236052,0.009649965,4.8765013,3171,2.28584644134971
"NRN1","up",0.0001161058475,0.009649965,22.7234896,51299,4.50611249848134
"NR1I3","up",0.0001161597968,0.009649965,3.9736233,9970,1.99045511139451
"SPESP1","up",0.0001161737268,0.009649965,4.2044158,246777,2.07190535315702
"TTC34","up",0.0001171252001,0.009649965,2.1264493,100287898,1.08844645782728
"HOXA9","up",0.0001175328247,0.009649965,2.7135531,3205,1.44018314024734
"MOAP1","up",0.000118577275,0.009649965,4.8980726,64112,2.29221415791245
"TACR1","up",0.0001187264263,0.009649965,5.735379,6869,2.51988882422787
"INPP5E","up",0.0001188165128,0.009649965,10.4640759,56623,3.38737300530049
"ANXA11","up",0.0001192332732,0.009649965,4.0859631,311,2.03067617526855
"ATP5E","up",0.0001199947602,0.009649965,19.217703,514,4.26436400287485
"HNRNPM","down",0.0001207150541,0.009649965,2.9120991,4670,1.54205945191224
"RESP18","up",0.0001209210187,0.009649965,3.0367028,389075,1.60250571984975
"RPS16","up",0.0001228718897,0.009649965,11.8592059,6217,3.56793550422426
"COMMD6","up",0.0001231650626,0.009649965,4.0189287,170622,2.00681098270423
"PPIC","up",0.0001232270296,0.009649965,3.6756031,5480,1.87798098953874
"CAMK2G","up",0.0001235039518,0.009649965,14.1093918,818,3.81858389529347
"ACE","up",0.0001239756644,0.009649965,3.038885,1636,1.60354208023404
"ZNF721","down",0.0001244643242,0.009649965,3.2281091,170960,1.69068933802373
"KIF21A","down",0.0001249895261,0.009649965,10.4832531,55605,3.39001456968014
"SALL4","down",0.0001253027955,0.009649965,52.2976784,57167,5.70867499862252
"SMARCAL1","up",0.0001257390695,0.009649965,7.8214667,50485,2.96743917050006
"FOXS1","up",0.0001259187589,0.009649965,6.5230258,2307,2.70554133470831
"ILF3","up",0.0001260052287,0.009649965,21.9337796,3609,4.45508253162933
"SAMD13","up",0.0001264819806,0.009649965,4.2398418,148418,2.08401043492681
"TMEM218","up",0.0001270119634,0.009649965,3.8319215,219854,1.93806800660626
"ADHFE1","up",0.0001272163909,0.009649965,15.2383554,137872,3.92963530321111
"RETN","up",0.0001272692486,0.009649965,4.8658932,56729,2.28270465535212
"PSMB5","up",0.0001275546147,0.009649965,11.8711876,5693,3.56939236507575
"RPS5","up",0.0001279894632,0.009649965,2.6249489,6193,1.39228933804194
"C3orf33","up",0.0001289365898,0.009649965,3.0470502,285315,1.607413268549
"ODF3B","down",0.0001293084512,0.009649965,2.6424132,440836,1.40185608164153
"LALBA","up",0.0001299274787,0.009649965,3.6078054,3906,1.8511215237301
"SLC35D1","up",0.0001302244032,0.009649965,10.7077528,23169,3.4205838331951
"CHD5","up",0.0001304410846,0.009649965,4.4835029,26038,2.16462633089525
"P2RX6","up",0.0001304898282,0.009649965,2.4281004,9127,1.27982807710736
"CLSTN3","down",0.0001308626282,0.009649965,3.0840086,9746,1.62480678832689
"TBC1D7","up",0.0001312493592,0.009649965,6.3839127,51256,2.67444092284186
"PATZ1","up",0.0001326738577,0.009649965,4.1188883,23598,2.04225500233602
"SERF1B","down",0.0001327624722,0.009649965,3.7757214,728492,1.9167523161651
"NFKB2","up",0.0001329522034,0.009649965,10.839122,4791,3.43817599387185
"H2AFV","up",0.0001330023884,0.009649965,3.4138543,94239,1.77140148685043
"TSPAN13","up",0.0001330265794,0.009649965,6.8332436,27075,2.77257055872351
"KIAA1456","up",0.0001330594776,0.009649965,74.4839735,57604,6.2188581333565
"TELO2","up",0.0001334140349,0.009649965,6.8183157,9894,2.76941540034028
"SNX7","up",0.0001339025546,0.009650955,3.476216,51375,1.7975177290013
"C15orf57","up",0.0001349294931,0.009658359,5.1950398,90416,2.37713480188072
"DNAJB11","down",0.0001352620813,0.009658359,2.2543966,51726,1.17274134094097
"EPB49","up",0.0001363858917,0.009692459,5.4193305,2039,2.43811463313086
"BTN3A1","up",0.0001382169301,0.009788359,4.9284719,11119,2.30114040035001
"RAI14","up",0.0001394293536,0.009839936,2.7820944,26064,1.47617137318758
"MANEAL","down",0.0001411145238,0.009896025,24.9100648,149175,4.63865686943749
