"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_GSE53868","Significativo_GSE53868_FDR05","Direcao_GSE53868","Concordante"
"TLE1","down",-0.127158564166665,11.79202126625,-1.27942248121723,0.22109963085468,0.472750325482839,TRUE,FALSE,"down",TRUE
"KCNN3","down",-0.200575664083333,9.00642926129167,-1.24405001690928,0.233469244802109,0.487065689169539,TRUE,FALSE,"down",TRUE
"CASP1","up",0.124302207,9.74024234766667,1.15459899237516,0.267167715417139,0.524406794570441,TRUE,FALSE,"up",TRUE
"CKS2","up",0.103066090416668,8.577880861125,1.15096981953054,0.268609633535766,0.525743839883795,TRUE,FALSE,"up",TRUE
"ADORA2B","up",0.132354187166667,6.98750367083333,1.11667583316388,0.282528041278418,0.540970617351083,TRUE,FALSE,"up",TRUE
"HBS1L","down",0.0580048964166676,8.94878739354167,1.08798613174553,0.294582275015982,0.553568820640859,TRUE,FALSE,"up",FALSE
"HLA-DRB4","down",-0.0723023791666664,11.8728803479167,-1.04587609291934,0.312959825752484,0.572825618860814,TRUE,FALSE,"down",TRUE
"LAMP3","up",-0.139613175833333,6.43208763283333,-0.998943570415792,0.334411091897375,0.593829091749641,TRUE,FALSE,"down",FALSE
"KRT8","up",-0.0396326025833326,8.463194295125,-0.913468233293925,0.376126862962108,0.632756572060564,TRUE,FALSE,"down",FALSE
"S100A7","up",0.5576845555,8.85087177516667,0.759071230812205,0.460128506076859,0.703009929725139,TRUE,FALSE,"up",TRUE
"FXYD3","up",0.124750400833334,6.96312481658333,0.607997652408202,0.552714647608932,0.771376160718541,TRUE,FALSE,"up",TRUE
"PI3","up",-0.252747492,9.09138370383333,-0.601282565111681,0.557055204809001,0.774097465287356,TRUE,FALSE,"down",FALSE
"SFRS2","up",-0.0490771349999991,12.6847928525,-0.587104531402,0.566279778867659,0.779732575067619,TRUE,FALSE,"down",FALSE
"DKK1","up",0.332675404,8.72714304516667,0.56171901188897,0.58299670863659,0.790731753055836,TRUE,FALSE,"up",TRUE
"COL17A1","up",0.0750661902500004,5.961078003625,0.535040029738799,0.600836200190151,0.801871935929404,TRUE,FALSE,"up",TRUE
"S100A13","down",-0.0324242866666658,13.6833698833333,-0.527143016679385,0.60616872600937,0.805115613172743,TRUE,FALSE,"down",TRUE
"PKP1","up",0.0763897794166667,6.148338560125,0.472043662003872,0.644011364333307,0.828961132933867,TRUE,FALSE,"up",TRUE
"NME1","up",0.0258157508333356,12.80428901375,0.431319735959731,0.672661352406368,0.845951897922478,TRUE,FALSE,"up",TRUE
"PBK","up",-0.0446377703333326,5.81151647891667,-0.419467853128592,0.681101875474701,0.850816011688908,TRUE,FALSE,"down",FALSE
"CLDN1","up",-0.031527300416666,6.554147175375,-0.268632619353991,0.792045520961313,0.908636507826478,TRUE,FALSE,"down",FALSE
"AKR1B10","up",0.0858375462500001,7.44904652445833,0.211460295500868,0.83550937126423,0.927331450030596,TRUE,FALSE,"up",TRUE
"ZNF148","down",0.00917026583333576,12.1546856295833,0.207342403185806,0.83866338932599,0.928500195337314,TRUE,FALSE,"up",FALSE
"SGCA","down",0.0448506855000011,10.8179644744167,0.195245192723374,0.847945427142319,0.932746107509239,TRUE,FALSE,"up",FALSE
"CHD3","down",-0.0138816706666652,8.51514054433333,-0.133951106839572,0.89530644650463,0.955177941953147,TRUE,FALSE,"down",TRUE
"SAE1","down",-0.00376183416666685,11.0966304829167,-0.0564314913666461,0.955778261031576,0.981634111353248,TRUE,FALSE,"down",TRUE
"NPR1","down",0.000617433916667214,9.449442064125,0.00496646779385121,0.996105905053659,0.999128500284953,TRUE,FALSE,"up",FALSE
"ADGRE5","down",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"CKMT1A","up",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"FOXO3","down",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"LARGE1","down",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"PRKCB","down",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"TP63","up",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
