Gene,Penney_p,Cartwright_p,HUNT_p,UKBiobank_p
PET100,5.16E-01,7.45E-01,4.86E-02†,8.66E-04*
PHB,1.02E-01,6.34E-04*,7.24E-01,2.11E-01
PIGH,5.21E-01,8.72E-01,1.88E-01,5.93E-05*
PLA2G15,5.76E-01,6.68E-01,2.53E-01,3.20E-04*
PLD4,4.50E-02†,6.36E-01,3.25E-02†,3.63E-04*
PNPLA6,1.68E-01,2.08E-01,9.22E-04*,5.37E-01
PPP2R5A,8.40E-04*,7.55E-01,3.62E-01,3.74E-01
PRB1,2.88E-01,7.40E-03†,8.49E-01,4.67E-04*
PRB2,2.41E-01,1.93E-02†,7.90E-01,8.84E-04*
PRB3,4.71E-01,2.02E-04*,7.82E-01,2.02E-02†
PSMB10,4.11E-01,3.13E-01,4.19E-01,8.89E-04*
PTPN4,5.09E-01,4.07E-01,4.53E-01,6.67E-05*
RAPH1,1.94E-01,6.84E-01,2.97E-01,2.66E-04*
RASGEF1C,4.02E-01,3.44E-02†,5.40E-01,1.70E-05*
RASSF5,5.50E-01,2.54E-01,3.41E-02†,9.81E-04*
RBM15,3.83E-01,7.14E-01,9.07E-04*,3.55E-01
RETN,5.91E-01,1.00E-01,1.37E-01,5.63E-04*
RIOK3,4.68E-04*,7.19E-01,5.16E-01,5.35E-01
RNF168,1.35E-01,9.90E-04*,5.29E-01,7.25E-01
RNF4,4.86E-04*,8.67E-01,1.80E-01,6.90E-01
RPL3,8.27E-04*,9.72E-02,1.11E-01,1.33E-01
RTKN,3.99E-07*,2.10E-01,5.06E-01,7.41E-01
SAA2,7.24E-01,2.15E-01,8.90E-01,6.75E-04*
SAA4,7.18E-01,2.25E-01,6.98E-01,7.31E-04*
SELPLG,3.08E-03†,3.73E-04*,2.12E-01,2.15E-01
SENP8,2.85E-01,7.34E-01,3.10E-02†,7.20E-04*
SFMBT2,4.12E-01,4.35E-01,2.97E-04*,1.96E-01
SHOX2,9.34E-04*,9.84E-02,6.03E-02,1.38E-01
SLC12A4,3.62E-01,2.69E-01,2.57E-01,5.94E-04*
SLC2A14,5.12E-01,8.43E-04*,4.49E-01,9.63E-02
SLC4A5,3.56E-05*,6.25E-01,6.37E-01,8.12E-01
SMCO1,2.05E-01,2.48E-04*,2.08E-01,5.40E-01
SMURF1,2.63E-01,1.82E-01,3.93E-04*,6.77E-01
SNRNP35,7.90E-01,8.35E-04*,1.83E-01,3.57E-02†
SUPT16H,5.34E-01,4.61E-04*,3.34E-04*,9.77E-01
SUV3,7.01E-04*,6.30E-01,6.30E-01,7.91E-01
SYNE3,7.43E-02,4.06E-01,6.25E-01,2.80E-04*
TANC2,2.09E-01,1.10E-01,3.96E-01,1.75E-04*
TAS2R41,3.20E-01,3.12E-01,1.18E-01,3.17E-04*
TAS2R50,7.76E-01,2.53E-04*,6.03E-01,2.84E-01
THBS2,5.34E-04*,8.51E-01,2.65E-01,5.83E-01
THNSL2,5.24E-01,3.78E-01,2.08E-04*,7.45E-01
TLX2,1.51E-05*,2.77E-01,7.03E-01,3.83E-01
TMEM114,7.97E-02,9.08E-04*,1.39E-01,5.63E-01
TMEM241,8.84E-04*,5.98E-01,6.68E-01,2.70E-01
TNNI2,2.49E-01,4.90E-01,9.08E-04*,2.45E-01
TNNT3,4.95E-01,6.21E-01,6.67E-06*,6.85E-01
TRAPPC5,7.02E-01,8.93E-01,3.95E-02†,3.40E-04*
TRRAP,1.20E-01,4.84E-01,4.97E-04*,8.04E-01
TTC31,5.08E-06*,3.45E-01,6.34E-01,8.25E-01
TXNDC17,2.64E-01,4.98E-01,4.96E-04*,1.64E-01
VPS26A,6.79E-04*,4.95E-01,8.15E-01,9.25E-01
WBP1,4.04E-06*,3.82E-01,5.77E-01,1.75E-02†
WDR12,2.58E-01,8.19E-01,5.64E-01,9.24E-06*
WDR54,5.62E-07*,1.89E-01,3.01E-01,5.19E-01
XKR4,3.51E-01,2.34E-04*,3.53E-01,8.52E-01
ZDHHC24,2.23E-01,7.32E-01,7.92E-01,7.07E-04*
ZHX3,3.53E-04*,2.00E-01,2.61E-01,8.40E-01
ZNF578,5.79E-04*,1.04E-01,7.18E-01,3.66E-01
