GeneSymbol,Sui1,Sui2,Sui3,Ctrl1,Ctrl2,Ctrl3
ARMC10,10.022874,10.215823,10.226769,8.934766,8.975435,9.135349
SDCBP,9.264814,11.246518,10.880793,8.123093,8.642646,7.234753
SCN2B,7.1466317,6.5527573,7.122978,3.1670504,3.2334552,2.7142286
MYD88,5.015034,6.2103796,6.208107,2.6719232,2.5586367,4.523072
TMPRSS2,12.539645,11.597881,12.455233,8.674515,9.022713,8.666522
SYTL1,8.937161,8.717667,9.368094,6.7419415,7.4855156,7.030312
HTATIP2,7.950946,8.298609,8.35064,5.1199617,2.5872684,6.7028723
LYRM4,4.085703,3.724335,4.1228023,3.3123145,2.4918883,2.7142286
SDHC,10.123665,9.994633,9.967351,7.546875,7.2743473,8.659805
BBS7,8.495611,9.548218,9.333177,7.8582187,7.637081,8.222702
LAMP2,11.806473,12.117237,11.815351,9.748469,9.401541,9.945586
WT1,5.0869007,5.4064717,5.935137,3.6975424,3.7697062,2.7142286
VIT,4.679316,4.343049,5.008306,2.40226,2.7142427,2.7142286
FDFT1,8.928111,9.674821,9.274022,7.3780174,7.081344,8.3125105
JAK3,5.4842925,5.4544663,6.3119164,3.731148,3.9561613,4.692931
SLC39A13,9.220529,8.5980015,9.192723,6.5624113,6.99453,6.331315
HOGA1,6.8267016,6.744355,7.424864,5.51041,5.775572,4.7759748
CDKL3,8.678483,8.436193,8.528274,7.4738364,6.7906985,8.018871
TBATA,4.153226,3.9522982,4.6824317,2.737475,2.592036,2.7142286
NDUFAF3,6.432649,6.325677,6.8586855,4.809263,5.5657177,5.6935
REEP1,3.7902045,4.3991275,4.6252127,2.5847569,3.0152364,2.7142286
KEL,4.8465347,4.6997747,5.0404444,2.40226,2.580116,2.7142286
MRPS35,9.4875145,9.940819,9.716179,7.782459,6.926419,8.74552
UBE2G1,9.317619,10.146444,10.223904,8.010977,7.1503854,8.236658
C16orf62,7.8337464,8.508579,8.629308,6.1110883,7.189681,6.965888
PHAX,6.9114647,7.3282766,7.0627747,5.3516345,4.5299163,6.1646547
LRRN1,7.15302,6.472476,7.1129827,4.042474,5.8736644,2.7142286
GAGE12C,10.165161,9.205354,9.854792,8.162102,8.447542,7.9536786
PPP2R2B,3.7411606,4.2143044,4.265173,2.896273,3.1085513,2.7142286
PANK2,9.689905,9.638487,9.697608,8.290436,7.9092674,9.06519
MAP3K12,5.5027385,5.6220994,5.8799286,4.805003,4.1653495,4.755223
LRRC4,12.111954,11.825052,12.570389,10.48889,10.993409,9.84619
VPS16,4.5200014,4.429565,4.9122925,3.0861154,2.7065573,3.694624
METTL9,10.548275,11.123146,10.9722805,9.399814,9.323252,9.807516
EARS2,4.945197,5.222742,5.642864,2.8690786,2.733775,2.7142286
NCOA6,9.759418,9.789911,9.82671,8.463215,8.524731,9.282938
SSSCA1,6.287449,6.1345577,6.5710573,3.960422,4.5450807,5.16518
TMEM219,9.35891,8.551346,9.25786,3.8979905,5.5434036,5.2675285
INF2,12.004645,11.848672,11.357915,10.0946865,10.33824,10.204207
TACR1,9.87296,9.727588,9.402415,7.1053042,7.332132,7.0058603
SPINK8,5.9731445,4.5369153,5.457829,2.40226,2.757685,2.7142286
CLTA,5.434017,5.4278264,5.571235,3.3904574,3.6738753,2.7142286
CELF4,5.493196,5.6063766,6.0663424,3.5080647,3.3954291,4.177751
C9orf170,5.0829964,4.79975,5.2157197,3.8062844,3.0740647,2.7142286
GAL3ST1,4.8417487,3.4453077,4.9771204,2.8424885,3.2584884,2.7142286
