GeneSymbol,Direction,PValue,FDR,FoldChange,EntrezID
KCNE2,down,0.002283337745,0.024293639,2.6400514,9992.0
OR1J4,up,0.0022845454162,0.024293639,2.5664287,26219.0
SLCO4A1,up,0.0022853351675,0.024293639,2.4746732,28231.0
RHOC,up,0.002288375375,0.024313241,2.7421535,389.0
KRT8,up,0.0022919119906,0.024338094,3.308723,3856.0
SLC34A1,up,0.002297960298,0.024384506,4.2769373,6569.0
CDK3,up,0.0022986821274,0.024384506,2.7604551,1018.0
AQP5,down,0.002300173159,0.024387595,8.3853475,362.0
DIRAS2,up,0.0023027174649,0.024394629,2.9833814,54769.0
HIC1,up,0.0023032370659,0.024394629,3.0664009,3090.0
ITPRIPL1,up,0.0023053247117,0.024397739,2.5484618,150771.0
CYP11B2,down,0.0023059314197,0.024397739,2.8629021,1585.0
HOPX,up,0.0023121872832,0.0244512,2.7275819,84525.0
SERPINA9,up,0.0023142582967,0.024453165,3.1434078,327657.0
ACVR1B,up,0.0023147792629,0.024453165,3.4091345,91.0
IL27,up,0.0023172366822,0.024466408,3.4427095,246778.0
SLC22A18,up,0.0023200631196,0.024478185,2.3930356,5002.0
GTF2I,down,0.0023207607594,0.024478185,2.914922,2969.0
FAM216A,down,0.0023244549183,0.024504433,2.1114728,29902.0
HSF4,up,0.0023263651529,0.024511857,3.6394254,3299.0
GFM2,up,0.0023282793806,0.024519315,2.4208718,84340.0
RBBP4,up,0.0023381440857,0.024563544,3.2572121,5928.0
IFT122,down,0.0023395175785,0.024563544,109.713395,55764.0
SLC22A23,down,0.0023406967569,0.024563544,2.177719,63027.0
NCOA1,down,0.0023407963639,0.024563544,10.9829441,8648.0
MCM4,down,0.0023420858688,0.024563544,3.4049189,4173.0
PAF1,down,0.0023428557676,0.024563544,3.6034354,54623.0
RPL21,up,0.002344576278,0.024563544,7.4382874,6144.0
XXYLT1,down,0.0023448282598,0.024563544,2.6562328,152002.0
PPP1R14D,up,0.0023450623767,0.024563544,10.6796853,54866.0
SCP2,up,0.0023476088195,0.024563544,2.6469067,6342.0
COQ10A,up,0.0023478785211,0.024563544,2.8320873,93058.0
ESR1,down,0.0023493740024,0.024563544,2.6349388,2099.0
CHD6,down,0.0023493987739,0.024563544,17.9557358,84181.0
IP6K2,up,0.0023526863351,0.02458527,4.3929191,51447.0
PNPO,up,0.0023556491699,0.024597401,2.6281164,55163.0
SERPINB7,up,0.0023564157546,0.024597401,3.2637792,8710.0
NCAN,up,0.0023591086375,0.024597401,3.2969424,1463.0
ADH1A,up,0.0023597104046,0.024597401,11.1748237,124.0
DCN,up,0.0023598982921,0.024597401,2.7501087,1634.0
B3GNT1,up,0.0023661325301,0.024636329,4.228834,11041.0
RPS3,up,0.0023669887717,0.024636329,2.9931695,6188.0
IGFBP3,up,0.0023672693656,0.024636329,5.7971428,3486.0
ARSJ,up,0.0023697567199,0.02463755,4.0744341,79642.0
NAE1,up,0.0023718119243,0.02463755,2.40598,8883.0
ACADVL,up,0.002373201533,0.02463755,3.925292,37.0
CTR9,down,0.0023738845826,0.02463755,2.7719649,9646.0
C19orf42,up,0.0023746598378,0.02463755,7.089985,79086.0
CCDC127,up,0.0023771201282,0.024637649,2.9157854,133957.0
THAP11,up,0.0023772718436,0.024637649,2.959841,57215.0
PYGO1,down,0.0023784147018,0.024637649,3.9161635,26108.0
GINS3,up,0.0023795180719,0.024637649,5.2030514,64785.0
CELF1,down,0.0023807505224,0.024637859,4.058257,10658.0
PDE4DIP,down,0.002388023738,0.024691588,2.883445,9659.0
GOLGA6D,up,0.0023883720173,0.024691588,4.0288888,653643.0
RHBDF1,up,0.0023899006959,0.024694831,3.0096765,64285.0
CLDN19,up,0.0023970054274,0.024755658,2.5879953,149461.0
FAM13C,up,0.002402467734,0.024786882,3.5835537,220965.0
ZCCHC7,up,0.0024065725459,0.024816635,4.5028956,84186.0
RELT,down,0.0024088774965,0.024827807,2.8592916,84957.0
TAOK2,up,0.0024155348858,0.024838651,3.4715146,9344.0
POU2F1,down,0.0024160560474,0.024838651,3.0817709,5451.0
MED12L,down,0.002417083209,0.024838651,4.0660922,116931.0
AGAP1,down,0.0024176885267,0.024838651,5.4374545,116987.0
PLXNB3,up,0.002418025113,0.024838651,3.2875826,5365.0
PACS2,down,0.0024246511208,0.024876847,5.4226356,23241.0
KIAA1683,down,0.0024395198409,0.024978963,2.3067942,80726.0
CFL1,up,0.002440882419,0.02498033,3.7293452,1072.0
F2RL3,up,0.0024426050027,0.024985378,2.5870991,9002.0
GCA,up,0.00244758221,0.02499282,3.5131179,25801.0
NME2,up,0.0024479438522,0.02499282,6.6781955,4831.0
VAMP5,down,0.0024480467232,0.02499282,2.4182687,10791.0
PYY,up,0.0024488707847,0.02499282,3.4874455,5697.0
ACOT7,up,0.0024558549189,0.025035651,6.7634093,11332.0
DIP2A,up,0.0024561420592,0.025035651,3.920277,23181.0
ARHGAP42,down,0.0024584735187,0.025042645,10.3985233,143872.0
AGBL1,down,0.0024603565271,0.025042645,65.1611277,123624.0
AP5B1,up,0.0024605245826,0.025042645,2.9095141,91056.0
COX11,up,0.0024635124846,0.025060506,2.5282077,1353.0
LRRC8B,up,0.0024698749494,0.025088955,5.1435154,23507.0
