"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0001817","regulation of cytokine production","1/47","28/9872",1,0.12524215027757,0.219402307055598,"ZBTB32"
"GO:0032722","positive regulation of chemokine production","1/47","28/9872",1,0.12524215027757,0.219402307055598,"HMOX1"
"GO:0042542","response to hydrogen peroxide","1/47","28/9872",1,0.12524215027757,0.219402307055598,"HMOX1"
"GO:0070507","regulation of microtubule cytoskeleton organization","1/47","28/9872",1,0.12524215027757,0.219402307055598,"KIF18A"
"GO:0015031","protein transport","3/47","261/9872",3,0.127169846496969,0.221164950429512,"EHBP1/KIF18A/SLC15A2"
"GO:0045599","negative regulation of fat cell differentiation","1/47","29/9872",1,0.129418665813628,0.22186056996622,"MMP11"
"GO:0071526","semaphorin-plexin signaling pathway","1/47","29/9872",1,0.129418665813628,0.22186056996622,"PLXNA3"
"GO:0000086","G2/M transition of mitotic cell cycle","1/47","30/9872",1,0.133575662939176,0.22576168384086,"CCNB1"
"GO:0050919","negative chemotaxis","1/47","30/9872",1,0.133575662939176,0.22576168384086,"PLXNA3"
"GO:0007162","negative regulation of cell adhesion","1/47","31/9872",1,0.137713230897096,0.229522051495161,"PLXNA3"
"GO:0045786","negative regulation of cell cycle","1/47","31/9872",1,0.137713230897096,0.229522051495161,"RPS6KA2"
"GO:0007018","microtubule-based movement","1/47","32/9872",1,0.141831458531263,0.231561564949001,"KIF18A"
"GO:0007626","locomotory behavior","1/47","32/9872",1,0.141831458531263,0.231561564949001,"ADCY5"
"GO:0034765","regulation of monoatomic ion transmembrane transport","1/47","32/9872",1,0.141831458531263,0.231561564949001,"KCNJ15"
"GO:0008344","adult locomotory behavior","1/47","34/9872",1,0.150010246219212,0.240016393950739,"CCND2"
"GO:0030593","neutrophil chemotaxis","1/47","34/9872",1,0.150010246219212,0.240016393950739,"CXCL2"
"GO:0048661","positive regulation of smooth muscle cell proliferation","1/47","34/9872",1,0.150010246219212,0.240016393950739,"HMOX1"
"GO:0006612","protein targeting to membrane","1/47","35/9872",1,0.154070981981328,0.2448810309637,"PRKCI"
"GO:0034605","cellular response to heat","1/47","36/9872",1,0.158112728839809,0.246409447542559,"HMOX1"
"GO:0046854","phosphatidylinositol phosphate biosynthetic process","1/47","36/9872",1,0.158112728839809,0.246409447542559,"SOCS4"
"GO:0048146","positive regulation of fibroblast proliferation","1/47","36/9872",1,0.158112728839809,0.246409447542559,"CCNB1"
