"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"LPIN3","8.03E-05*","1.39E-01","4.25E-01","6.89E-01",1,8.03e-05,0.118794884583334,6.41999056654167,2.23012799444863,0.042230629039936,0.183677226417818,-4.10161713623383,TRUE,FALSE
"PSMB10","4.11E-01","3.13E-01","4.19E-01","8.89E-04*",1,0.000889,-0.0899422491666652,12.4948166054167,-2.1935633087082,0.0452494049224585,0.191525610918217,-4.16325788151458,TRUE,FALSE
"MAPK9","4.14E-01","3.70E-02†","6.09E-01","8.23E-06*",2,8.23e-06,0.127326825833334,8.73584700791667,2.18795447926759,0.0457299008645274,0.192640927286144,-4.17267070851101,TRUE,FALSE
"PRB1","2.88E-01","7.40E-03†","8.49E-01","4.67E-04*",2,0.000467,0.0818651706666673,5.40325894625,2.11465778020274,0.0524611030589999,0.209493817536209,-4.29459754922578,TRUE,FALSE
"BBS1","2.09E-01","6.40E-01","7.95E-01","7.32E-04*",1,0.000732,-0.139769361,9.57981875375,-2.07282410209901,0.0567027903195137,0.219948351061324,-4.36325050596585,TRUE,FALSE
"NFATC3","4.04E-01","6.26E-01","4.10E-01","1.58E-04*",1,0.000158,-0.0942621231666653,9.244180324,-2.04130315015392,0.0601050150651099,0.227311134905637,-4.41450866933594,TRUE,FALSE
"KRT18","2.38E-01","8.52E-01","3.48E-02†","1.57E-04*",2,0.000157,0.357415332583334,9.90718136420833,2.03201553544005,0.0611426371820111,0.229641487068711,-4.42953269757466,TRUE,FALSE
"AUP1","2.90E-05*","3.91E-01","1.55E-01","2.13E-02†",2,2.9e-05,0.0816997400000009,11.0977525633333,2.01187371902005,0.0634494998608053,0.234405740840432,-4.46198885853977,TRUE,FALSE
"MRPL23","6.52E-01","4.06E-01","2.52E-05*","9.34E-01",1,2.52e-05,0.0914439108333341,10.98424986375,1.93992027785609,0.0723538931236319,0.254060364689512,-4.57648067145194,TRUE,FALSE
"CYP20A1","6.90E-01","8.01E-01","3.36E-01","8.41E-05*",1,8.41e-05,0.110959301083334,8.616843124375,1.93688488448738,0.0727533337593789,0.254743248430406,-4.58125926442462,TRUE,FALSE
"LOXL3","4.25E-05*","9.65E-02","7.42E-01","7.07E-01",1,4.25e-05,0.102588082666666,10.07568046,1.91717396550394,0.0753960989177407,0.259753253021683,-4.61218616136159,TRUE,FALSE
"TNNI2","2.49E-01","4.90E-01","9.08E-04*","2.45E-01",1,0.000908,-0.192714828,6.48556925866667,-1.90103431472972,0.0776242732627693,0.263975201797173,-4.63737417925595,TRUE,FALSE
"SELPLG","3.08E-03†","3.73E-04*","2.12E-01","2.15E-01",2,0.000373,-0.0983737715833335,8.82384134570833,-1.88480698536338,0.0799242053642614,0.268284505419851,-4.66257425156173,TRUE,FALSE
"TRRAP","1.20E-01","4.84E-01","4.97E-04*","8.04E-01",1,0.000497,-0.0992966242499981,9.10095581179167,-1.88431043370116,0.0799955393637291,0.268407575977482,-4.6633433757009,TRUE,FALSE
"PCOLCE2","8.83E-04*","9.14E-01","8.63E-02","4.52E-03†",2,0.000883,0.371148923333333,14.3152645566667,1.80577079112028,0.0920235219751073,0.290703016959184,-4.78346830996856,TRUE,FALSE
"FLNC","1.77E-01","6.49E-04*","4.99E-01","4.56E-01",1,0.000649,0.478796345750001,10.2326145882083,1.77457545603012,0.0972312573689297,0.299201244478526,-4.83031337748208,TRUE,FALSE
"EMILIN3","9.50E-05*","1.43E-01","4.00E-01","5.25E-01",1,9.5e-05,-0.136830216916665,7.623758493875,-1.73921840003742,0.103447442124129,0.309424730536639,-4.88278860594098,TRUE,FALSE
"DPP3","1.77E-01","5.72E-01","6.61E-01","7.09E-04*",1,0.000709,0.119571553916667,8.78247418545833,1.71996664868589,0.106977089001371,0.315788724059529,-4.91107829741184,TRUE,FALSE
