"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rat_Gene_Symbol_exact","HID","Human_Ortholog_Symbol"
"Lilrb4",164.964517845088,3.90033982213765,0.766087481767962,5.16436031077183,2.4126256943798e-07,0.000129746813972973,"Lilrb4",86756,"LILRB4"
"Scn7a",167.003634763947,-3.79948798909405,0.847501730422881,-5.10893319225311,3.23982875776874e-07,0.000166972674603506,"Scn7a",55706,"SCN7A"
"She",190.229650608067,-2.55141449238243,0.861524699959191,-5.05644251128411,4.27149553988445e-07,0.000211336513331323,"She",18186,"SHE"
"Pdk4",119.848234993462,-3.73407189412699,0.852150012213769,-5.01560763438946,5.28661183753927e-07,0.000251500391609705,"Pdk4",129720,"PDK4"
"Ednra",120.753659016518,-3.63420775860641,0.853788618276403,-4.97768407002459,6.43495763848497e-07,0.000294792559371928,"Ednra",1478,"EDNRA"
"Extl3",178.818128375607,-3.77192413184358,0.838963240756301,-4.96880295239307,6.7367484775814e-07,0.000297595863997158,"Extl3",1103,"EXTL3"
"Acot1",88.1547344586493,-3.92570097868907,0.821707620846268,-4.88213941386984,1.04941018073175e-06,0.0004326718175157,"Acot1",NA,NA
"Ulk3",96.6735655861847,-2.94576843718397,0.86284338344459,-4.88372561141674,1.04099913078962e-06,0.0004326718175157,"Ulk3",68482,"ULK3"
"Lnx1",105.842271279665,-2.81474218322779,0.862991829055374,-4.85890908126324,1.18034317429867e-06,0.00047095692654517,"Lnx1",7819,"LNX1"
"Lrrc48",99.7591073142587,2.62911486460806,0.862236202330827,4.83505499957179,1.33108827248755e-06,0.000514507213824952,"Lrrc48",NA,NA
"Spidr",182.308157744232,-3.42722566006257,0.854338331331583,-4.78815578063854,1.68320970360694e-06,0.000630897600724672,"Spidr",51693,"SPIDR"
"Tmem190",85.0256507382582,-2.8875441458297,0.862961809954423,-4.76558652667177,1.88305064330431e-06,0.000685042747265617,"Tmem190",44548,"TMEM190"
"Fpgt",136.007702027109,-3.43931965275274,0.855865556371419,-4.73457475687482,2.1951485212719e-06,0.000775765487417489,"Fpgt",2847,"FPGT"
"Scn5a",121.770313017147,-3.13819245891605,0.861318837237395,-4.70719559737897,2.51147905443619e-06,0.000862902345120033,"Scn5a",22738,"SCN5A"
"Arhgef9",87.9298930824126,-2.71808797313437,0.862790443710236,-4.67864132990056,2.88782088146978e-06,0.000939985696918413,"Arhgef9",9053,"ARHGEF9"
"Zfp449",89.8897755899377,-2.69820772503504,0.862706686515345,-4.67959144192243,2.87447137345718e-06,0.000939985696918413,"Zfp449",23700,"ZNF449"
"Ihh",527.733533286919,-3.55800315112542,0.830528647607006,-4.63902398085188,3.50058437072962e-06,0.00111022379696294,"Ihh",22586,"IHH"
"Mybpc2",149.730823797766,-3.45021740007063,0.850111929120076,-4.6321325172835,3.61918364633749e-06,0.00111914206303871,"Mybpc2",3331,"MYBPC2"
"Gpc4",210.255388454191,-3.53521101544565,0.778648201626408,-4.62090504219464,3.82069631924183e-06,0.00115263884811469,"Gpc4",55582,"GPC4"
"RGD1306739",78.7174281910447,-2.72520713962893,0.862831585274048,-4.6137824771142,3.95406247335296e-06,0.00116447139840245,"RGD1306739",NA,NA
"Tuba8",513.865999438102,-3.10314262585972,0.859220676649841,-4.56064176863598,5.09975181187274e-06,0.00146694953862916,"Tuba8",56766,"TUBA8"
"Ecm1",2389.5984544321,1.8874948601387,0.414879934264332,4.54948942681717,5.37762358238282e-06,0.00151172332023848,"Ecm1",3260,"ECM1"
"Qrich2",78.1038611610913,-2.53717289677344,0.861585852099712,-4.48473792812308,7.30036052328118e-06,0.00200662576249922,"Qrich2",12951,"QRICH2"
"LOC102553290",25236.9100195506,2.6514182088115,0.59432131584553,4.46565431570621,7.98244104956147e-06,0.00214640898569621,"LOC102553290",NA,NA
"LOC100910848",78.4985888547683,-2.46426399130735,0.860737322442617,-4.4381026255653,9.075534810231e-06,0.00238841042697335,"LOC100910848",NA,NA
"Sirt3",323.386960631056,-2.79084512494325,0.634452297762787,-4.40235422320548,1.07082537962648e-05,0.00275938315012499,"Sirt3",81827,"SIRT3"
"LOC100912031",185.628407254451,-3.0534328209099,0.859895416004165,-4.37523779775639,1.21300169646594e-05,0.0030619628537933,"LOC100912031",NA,NA
"Amer1",91.6337579652663,-2.22189562661952,0.856130561192172,-4.3580394325076,1.31232743201931e-05,0.00324643560132936,"Amer1",51852,"AMER1"
"Aim1l",681.441064246669,3.36466306493007,0.825886069498532,4.33102291853026,1.48418231019902e-05,0.00359957862644152,"Aim1l",NA,NA
"Snx31",302.069012718105,-3.34339409965127,0.794525776597562,-4.31899298833882,1.56742761283467e-05,0.00372836771983693,"Snx31",23551,"SNX31"
"Ago1",768.429498112716,2.38002881856815,0.553045099375001,4.30452295853626,1.67345938279485e-05,0.00390547530297915,"Ago1",81826,"AGO1"
"Sema4f",114.790736817525,-1.96933939319462,0.847866820058986,-4.29079944513294,1.78031044940637e-05,0.00406499992188919,"Sema4f",3147,"SEMA4F"
"Zfp879",83.5628213989283,-2.79051035109754,0.862945812218537,-4.28742740411313,1.80754301644357e-05,0.00406499992188919,"Zfp879",45452,"ZNF879"
"Tmtc2",78.1980155222859,-2.2487598887581,0.856850661387101,-4.28239047312693,1.84896149500545e-05,0.00408389370209329,"Tmtc2",25521,"TMTC2"
"Fam64a",68.5619156577252,-2.32761172082895,0.858596099588027,-4.26006019081769,2.04371859252529e-05,0.00435840608119746,"Fam64a",NA,NA
"Tasp1",92.425826197558,-3.3565660428367,0.837593856255608,-4.26031606951373,2.04138015983025e-05,0.00435840608119746,"Tasp1",9795,"TASP1"
"Lpar2",73.3633056129549,-2.24919729252851,0.856893282405671,-4.24436661595307,2.19211711332022e-05,0.00459564348723014,"Lpar2",3465,"LPAR2"
"Enpp4",569.768807055592,-3.29114401169568,0.829473845092927,-4.22848466861235,2.35270545115952e-05,0.00485010228756536,"Enpp4",28264,"ENPP4"
"Tlr4",68.8982651493521,-2.26817082435639,0.85735948136693,-4.22038380607205,2.43886737863936e-05,0.00494530337809677,"Tlr4",41317,"TLR4"
"Wasf1",78.2967009695307,1.95294449809137,0.847176185735206,4.17868368375808,2.93201141401768e-05,0.00584936277096527,"Wasf1",2920,"WASF1"
"Nup188",795.639398714001,2.26318942111074,0.544952495468145,4.15369188653582,3.27153624322569e-05,0.00642311615753311,"Nup188",45683,"NUP188"
"Tcf23",78.0828275567083,-2.01297756262062,0.849742927144649,-4.10104176165599,4.11294317284786e-05,0.00794890532889924,"Tcf23",76449,"TCF23"
"Dclre1a",259.776677608397,-2.6878244146367,0.6569855238389,-4.09354006484445,4.24836627317011e-05,0.00808431422043709,"Dclre1a",8920,"DCLRE1A"
