"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Lnx1",105.934377294153,-10.1330795268085,1.83218547571814,-5.53059701711518,3.19142729775303e-08,1.4174604359096e-05,"LNX1",84708
"Qrich2",78.1917556640722,-9.69514175952623,1.7538397656216,-5.52795184005309,3.23990956779338e-08,1.4174604359096e-05,"QRICH2",84074
"Extl3",179.255036008408,-7.19425720713513,1.31075625903734,-5.48863082478723,4.05061209056298e-08,1.71844149296611e-05,"EXTL3",2137
"Lrrc48",99.6768028139337,10.3551899603096,1.8889684480941,5.48192849423058,4.20714287156399e-08,1.73235294711459e-05,NA,NA
"LOC103691356",18.5313988445394,21.2552183397482,3.90930584559697,5.43708248452544,5.4160069481042e-08,2.14119312521624e-05,NA,NA
"Sirt3",323.866336374464,-3.34303734702906,0.615190846804257,-5.43414676013988,5.50592517912746e-08,2.14119312521624e-05,"SIRT3",23410
"LOC688547",17.5687287746932,21.1797952765245,3.90944546443653,5.41759578671527,6.04057893850228e-08,2.16841295228287e-05,NA,NA
"Rbpjl",17.8093962921548,21.1983738596999,3.90940914603051,5.42239839010557,5.88046421396131e-08,2.16841295228287e-05,"RBPJL",11317
"Sh3gl2",270.54010560314,-11.4858069026368,2.12005651073665,-5.41768903067865,6.0374304301273e-08,2.16841295228287e-05,"SH3GL2",6456
"LOC103693972",16.8467262223086,21.1222040955811,3.90956064901734,5.40270531444245,6.56432535061896e-08,2.29751387271664e-05,NA,NA
"Serpinb2",2517.77941528541,5.15827869192486,0.955992497631476,5.39573135218611,6.82449935911676e-08,2.33031685433255e-05,"SERPINB2",5055
"LOC100910848",78.5859294398518,-9.70252398746025,1.80395998695647,-5.37845853434353,7.51262798349148e-08,2.39038163111093e-05,NA,NA
"LOC103692599",15.8840561524623,21.0390189484539,3.90973052634876,5.38119412748937,7.39933460621126e-08,2.39038163111093e-05,NA,NA
"Trpa1",15.8840561524623,21.0390189484539,3.90973052634876,5.38119412748937,7.39933460621126e-08,2.39038163111093e-05,"TRPA1",8989
"Fam64a",68.7069976708699,-9.50875247185363,1.76940677654447,-5.37397765053413,7.70184082981979e-08,2.39612825816616e-05,NA,NA
"LOC102552091",15.1620536000777,20.9761982342411,3.90987210194798,5.36493207125377,8.09796894501808e-08,2.46459924413594e-05,NA,NA
"Fpgt",136.236806718905,-8.28340908282211,1.57063032610758,-5.27393935105693,1.33526049884917e-07,3.97737169869965e-05,"FPGT",8790
"Tlr4",69.0524954668518,-9.5157018189199,1.81919640115066,-5.23071715231027,1.68853697317759e-07,4.92489950510131e-05,"TLR4",7099
"Dclre1a",260.231067901053,-3.27018333948537,0.627635199312105,-5.21032495161127,1.88510166998251e-07,5.38600477137859e-05,"DCLRE1A",9937
"Plcl1",52.696244646056,-5.73791790727255,1.10225350763754,-5.20562453874213,1.9334522502197e-07,5.41366630061516e-05,"PLCL1",5334
"Gpc4",210.498494464199,-5.09009759180875,0.98035364769638,-5.19210348609339,2.0793136673943e-07,5.70791987127847e-05,"GPC4",2239
"Spidr",182.626492419451,-7.76849790891065,1.4987573587492,-5.18329258806369,2.18002637854359e-07,5.86930178838658e-05,"SPIDR",23514
"Scn5a",122.074684274037,-9.37423268727444,1.83919632324151,-5.09691791399014,3.45227932633052e-07,9.11922840917497e-05,"SCN5A",6331
"Lpar2",73.517162493262,-9.60642571720432,1.88705923869566,-5.09068582491576,3.56770739201108e-07,9.24961175706577e-05,"LPAR2",9170
"She",190.818711947032,-10.9822071282175,2.16444374223904,-5.07391664375475,3.89709824015217e-07,9.91988642947825e-05,"SHE",126669
"Tasp1",92.5755900720108,-6.05346516762099,1.1998777761248,-5.04506816283541,4.53359717956096e-07,0.000113339929489024,"TASP1",55617
"Tmtc2",78.4236636085893,-9.69946055291167,1.93480889692892,-5.01313621635056,5.35499588892678e-07,0.000131526214815746,"TMTC2",160335
"Mybpc2",150.175380081424,-7.19207474648668,1.45216886842659,-4.95264352711211,7.3212019115137e-07,0.000176718666829641,"MYBPC2",4606
