"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Msmo1",1449.81998169339,-0.294273545855441,0.513870715917833,-0.57280403775897,0.566777384866769,0.999856671432754,"MSMO1",6307
"Msn",430.086411365028,0.569417085867066,0.545396141145399,1.05160891345737,0.292979016606473,0.999856671432754,"MSN",4478
"Msra",61.9346455992469,0.050085332284878,0.318354542629503,0.158693979427162,0.87390998178926,0.999856671432754,"MSRA",4482
"Msrb1",1831.23162608532,0.0293057299666654,0.404077034499873,0.0725279625533182,0.942181753162417,0.999856671432754,"MSRB1",51734
"Msrb2",281.856806810135,-0.192771334095615,0.499066210639904,-0.388483060354875,0.697658587532144,0.999856671432754,"MSRB2",22921
"Msrb3",814.186040920048,0.258693577399774,0.53131873319005,0.488940166912938,0.624884057576784,0.999856671432754,"MSRB3",253827
"Mss51",90.4982033118407,0.210495899403379,0.455628249930244,0.469844912212543,0.638465824173661,0.999856671432754,"MSS51",118490
"Mst1r",112.084297256324,-0.0562050680009827,0.337036424689111,-0.168104795940516,0.866500836430629,0.999856671432754,"MST1R",4486
"Msto1",233.703354028824,0.495076988933514,0.545475055073397,0.911936565826839,0.36180211129447,0.999856671432754,"MSTO1",55154
"Msx1",221.244398521182,0.520467655564641,0.501529814177672,1.0837805496855,0.278462111143956,0.999856671432754,"MSX1",4487
"Msx2",1477.53157512624,-0.342089929607986,0.334978075341524,-1.02123839891962,0.307141503779522,0.999856671432754,"MSX2",4488
"Mt3",459.287832921148,0.458250993171955,0.540968357160934,0.848979494548141,0.395892702478526,0.999856671432754,"MT3",4504
"Mta1",182.176972320749,-0.0497520203733096,0.533296818173755,-0.0932955847031884,0.925668739682184,0.999856671432754,"MTA1",9112
"Mta2",2357.57876989079,-0.4293287439697,0.403652315692817,-1.06365455967083,0.287485216496225,0.999856671432754,"MTA2",9219
"Mta3",1212.27222736203,0.406162473272691,0.378166693503204,1.07403680761623,0.28280618492788,0.999856671432754,"MTA3",57504
"Mtap",395.761369204983,-0.260045378974269,0.539719064195882,-0.483165183133602,0.628978454488799,0.999856671432754,"MTAP",4507
"Mtch1",3840.15320858874,0.461976763320648,0.442583743841388,1.0439489022934,0.296509031209774,0.999856671432754,"MTCH1",23787
"Mtch2",3076.65145336515,-0.5545518249535,0.350926700971381,-1.58027966418652,0.114042834840561,0.999856671432754,"MTCH2",23788
"Mtcl1",62.4750358826427,0.0861941815306703,0.49762571170105,0.17339450702105,0.862341342473501,0.999856671432754,"MTCL1",23255
"Mtcp1",6.78691775164986,0.032946667125167,0.292566882631474,0.113354361051767,0.909749621031172,0.999856671432754,"MTCP1",4515
"Mtdh",1187.07973989362,0.348586127941973,0.345203766178045,1.00979765828083,0.31259224231023,0.999856671432754,"MTDH",92140
"Mtf1",35.2103935716029,0.296191883625085,0.488885671367558,0.61677749415405,0.537381498572349,0.999856671432754,"MTF1",4520
"Mtf2",375.132515123354,0.204435330454948,0.539870031740794,0.378801060611766,0.704835599715848,0.999856671432754,"MTF2",22823
"Mtfmt",388.612600636526,-0.760813968109537,0.525644481411663,-1.45125541608103,0.146708751008058,0.999856671432754,"MTFMT",123263
"Mtfp1",75.3825722033602,0.136436511914484,0.324779723994184,0.446958720450965,0.654904865025355,0.999856671432754,"MTFP1",51537
"Mtfr1",272.071034486455,-0.139662139759887,0.537902659656444,-0.259690945396329,0.795102177612553,0.999856671432754,"MTFR1",9650
"Mtfr1l",1891.80025658973,0.58729926708354,0.38775708721952,1.51468184259408,0.129852994827124,0.999856671432754,"MTFR1L",56181
"Mtg2",820.736572108336,-0.782192587550298,0.492323806878315,-1.59044873410906,0.111733692674363,0.999856671432754,"MTG2",26164
"Mthfd1",868.987066684783,0.255544962994782,0.451094087262217,0.566536811378803,0.571028916229713,0.999856671432754,"MTHFD1",4522
"Mthfd1l",368.454091483452,0.00631612831310256,0.500813812680372,0.0126188251162973,0.989931901463465,0.999856671432754,"MTHFD1L",25902
"Mthfd2",45.0745637519149,-0.06206732234266,0.299951040623722,-0.210675486299736,0.833140504382323,0.999856671432754,"MTHFD2",10797
"Mthfd2l",32.9548399903306,0.129760865766997,0.339228843527815,0.399410564665958,0.689590710804394,0.999856671432754,"MTHFD2L",441024
"Mthfr",334.286357368224,-0.384061002861822,0.543245539090442,-0.710290740613605,0.477523860554993,0.999856671432754,"MTHFR",4524
"Mthfsd",174.136436672708,0.262520568270176,0.48630748566832,0.547729719145302,0.583877502555118,0.999856671432754,"MTHFSD",64779
"Mtif2",212.151621541913,0.0306438820950691,0.545173644619451,0.0562222427849662,0.955164762005399,0.999856671432754,"MTIF2",4528
"Mtif3",326.162594903132,0.156109802702087,0.504313848583257,0.309567079780152,0.756890193792064,0.999856671432754,"MTIF3",219402
"Mtm1",409.59266863567,-0.485772682066735,0.532268646796223,-0.913987728337141,0.360723293952081,0.999856671432754,"MTM1",4534
"Mtmr1",333.62463126446,-0.451940009615675,0.542393214811687,-0.839070837558037,NA,NA,"MTMR1",8776
"Mtmr10",359.205376154911,-0.439739903564776,0.544907558553969,-0.810958816456105,0.417389321708494,0.999856671432754,"MTMR10",54893
"Mtmr11",495.815692548299,-0.201962838855865,0.532382328917794,-0.380288459620323,0.703731301075636,0.999856671432754,"MTMR11",10903
"Mtmr12",762.547649866328,-0.138984742767818,0.545117004308723,-0.25503434724226,0.798696570893775,0.999856671432754,"MTMR12",54545
"Mtmr14",537.242916480353,0.253088005073651,0.522005402235895,0.484972147821548,0.627696102636843,0.999856671432754,"MTMR14",64419
"Mtmr2",930.538908576935,-0.416269032460079,0.515623537217098,-0.807754479938987,0.419231934319476,0.999856671432754,"MTMR2",8898
"Mtmr3",2928.98586053987,-0.417729829146657,0.270638194680039,-1.54349833561329,0.122709911013463,0.999856671432754,"MTMR3",8897
"Mtmr4",1104.76017055228,-0.164645688619234,0.493255419663351,-0.333807995035197,0.738524449987211,0.999856671432754,"MTMR4",9110
"Mtmr6",1366.75121063462,-0.498679917998819,0.424505783914001,-1.17482578099799,0.240064423557458,0.999856671432754,"MTMR6",9107
"Mtmr7",21.1098887582782,0.203274616013923,0.293686505839694,0.956908345797137,0.338613518391712,0.999856671432754,"MTMR7",9108
"Mtmr9",194.683753018357,-0.139454702379875,0.419941614689792,-0.336514286075773,0.736483080378991,0.999856671432754,"MTMR9",66036
