"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"ALG6",0.0061146979856,0.037391458,5.7820255,"up",7.7018433,8.825005,8.786979,5.3807974,5.9003024,6.4380026,2.53157497143039
"LRRFIP1",0.0061154618413,0.037391458,7.6796337,"down",7.127536,7.276484,6.229307,10.0144825,10.480277,8.96168,-2.94103749951461
"FAM100A",0.006122447527,0.037413934,2.1397092,"down",4.566573,4.628826,4.478517,5.631736,5.3166223,6.017802,-1.09741473857718
"LPAR6",0.0061289467551,0.037442393,13.6325896,"up",11.735183,12.635046,12.449884,8.6725645,7.2907343,9.549851,3.76898773246821
"SLC28A1",0.0061565384281,0.03757707,4.8000981,"up",5.373841,5.6748805,5.5817895,3.0285313,4.0985594,2.7142286,2.2630638906124
"DNAJC8",0.0061587150388,0.03757907,2.5008699,"down",9.962189,10.05818,9.38464,11.242442,10.853378,11.276479,-1.32243000773606
"IFITM3",0.0061666383505,0.037604838,7.3424669,"down",7.5631332,7.2352242,6.708879,10.215823,10.786209,9.133999,-2.87626485686426
"RNF139",0.0061712801239,0.037613728,7.2416176,"up",8.29227,9.75714,9.7649555,6.5398135,6.7365465,5.9690695,2.85631199604227
"RB1CC1",0.0061747352561,0.037613728,3.5742801,"up",8.545658,9.311636,9.277518,7.1091285,6.845181,7.6675444,1.83765269622799
"QSER1",0.0061790330046,0.037613728,6.2648393,"down",3.5525029,2.7354684,2.5298138,5.318728,5.081435,6.3594546,-2.64727750331146
"SCN5A",0.0061839382738,0.037613728,2.0183754,"up",3.8964984,3.3162172,3.5739143,2.40226,2.6305578,2.7142286,1.01319452793781
"PANK1",0.0061851131304,0.037613728,4.8143458,"up",4.6309443,5.7400312,5.761675,3.4430041,3.1733985,2.7142286,2.26733976998608
"PHF1",0.0061854387686,0.037613728,4.6750219,"up",8.184814,7.694395,7.4929066,5.6376295,6.1645627,4.895004,2.22497312327779
"MPPED2",0.0061857217354,0.037613728,2.4438641,"up",8.8767605,8.952984,9.258993,7.566236,7.4877768,8.1672325,1.2891640610538
"LAMP1",0.0061870575401,0.037613728,2.7645406,"up",5.2786584,5.258991,5.937996,4.2123857,3.6939747,4.1681657,1.46703975924216
"XAGE1A",0.0061871768116,0.037613728,8.0085608,"up",6.554465,6.4281297,7.214505,4.368445,2.7136369,4.1103888,3.00154300252692
"HIST1H1E",0.0061884529286,0.037613728,3.9460663,"down",6.490573,6.2243977,5.602503,8.326362,8.380661,7.5516963,-1.98041519576691
"OR51T1",0.0061917835516,0.037618617,5.4334245,"down",2.9166129,3.24551,2.5298138,5.373841,6.038546,4.605135,-2.44186176560313
"TNFAIP8",0.0061937635261,0.037618617,4.2984179,"up",6.708551,7.6362376,7.510274,4.882769,4.933836,5.7270403,2.10380575101814
"VWA5A",0.0061948098524,0.037618617,6.4033954,"up",5.8517523,5.9447794,6.148819,2.8966472,4.2979636,2.7142286,2.6788370969549
"CENPB",0.0061997169903,0.037637171,2.3422023,"up",11.885521,11.353838,11.905307,10.611284,10.194184,10.655601,1.22786568924746
"ABCB6",0.0062034478511,0.037648575,4.9721505,"up",5.0535975,5.279309,5.5006027,2.6026957,2.4888291,3.8003745,2.31386996540037
"PPARD",0.0062102415462,0.037656877,3.1689906,"down",6.619458,6.4916096,6.65237,8.051746,8.863556,7.8402057,-1.66402338034069
"INS-IGF2",0.0062115599422,0.037656877,2.7224304,"up",12.093672,12.627554,12.472906,11.1975355,11.155374,10.506537,1.44489516634958
"USP51",0.0062135954698,0.037656877,2.843767,"down",3.6398578,3.827079,3.7387798,5.4449787,4.687922,5.5962257,-1.50780326463558
"UCN",0.006219922265,0.037681049,3.5506674,"up",6.3117437,5.844401,6.680588,4.385727,4.056221,4.910514,1.8280902257929
"AMZ2",0.0062253597126,0.037702752,2.1169654,"up",9.375208,9.353678,9.451146,8.197777,8.030026,8.706236,1.08199768991407
"PRSS45",0.0062340803338,0.037722882,5.0213545,"down",5.761261,5.859662,5.3561373,8.467682,8.331753,7.161855,-2.32807658067961
"GGA3",0.0062379028559,0.037722882,67.7440187,"down",2.4719083,2.4393156,3.1373153,7.3714647,11.008706,7.9144335,-6.08202166758584
"L3MBTL3",0.0062387772011,0.037722882,2.413571,"down",4.1752954,4.094043,3.7560244,4.9061723,5.6109943,5.321704,-1.27116926715595
"MEOX1",0.0062396419286,0.037722882,3.0537214,"up",4.3027563,4.9906297,4.889266,3.1723378,3.4643803,2.7142286,1.61056844681954
"ZNF79",0.00624158809,0.037722882,2.4845754,"up",11.473371,11.634473,11.56896,10.440244,9.759123,10.538439,1.31299932436156
"CRCP",0.0062427413118,0.037722882,2.572194,"down",5.444233,5.558983,4.905795,6.602862,6.420783,6.9743643,-1.36299945770591
"RIOK1",0.0062430203973,0.037722882,2.8388968,"down",6.9882946,7.9127636,7.5027556,8.869615,8.874017,9.176173,-1.50533040495017
"GARS",0.0062453267594,0.037722882,4.3778002,"up",9.240804,10.292634,10.096884,7.6233807,7.399109,8.217214,2.13020611234278
"HHLA3",0.006250893625,0.037735492,3.7407709,"up",7.0508995,6.8791027,7.391715,5.2872524,5.727382,4.597076,1.90333561209165
"ID3",0.006252587572,0.037735492,4.6839488,"up",8.720336,8.237824,8.730903,6.2470737,7.052341,5.7064724,2.22772530590108
"CAAP1",0.0062559689993,0.037741932,3.1957746,"up",9.527662,10.474094,10.471686,8.508323,8.388787,8.547835,1.67616565766212
"ITGA2",0.0062638009155,0.037777968,2.1732871,"up",7.8221874,7.50244,7.937222,6.6378794,6.340043,6.9242907,1.1198787729483
"LOC100506388",0.0062690646995,0.037798499,4.41542,"up",5.896328,5.5663443,6.218951,3.7411606,3.1304317,4.382379,2.14255067526848
"LRRN2",0.0062743504725,0.03781915,6.992439,"up",6.137334,5.5989113,6.7018213,3.1462097,4.160241,2.7142286,2.80579576310528
"RGPD4",0.0062773476413,0.037825184,2.6397282,"up",5.3489227,5.2585464,5.764644,4.216341,3.629201,4.325403,1.40038938992502
"KCNJ11",0.0062836459824,0.037833769,4.4602177,"down",6.62185,6.338185,6.5318956,8.910382,7.866366,9.186525,-2.15711412876562
"ALS2",0.0062842215926,0.037833769,8.2503617,"up",6.1267967,7.2590504,7.2190742,3.1363015,3.6773617,4.657886,3.04445736921998
"PTPN14",0.0062884947194,0.037840806,3.4353357,"down",4.0793276,3.650884,3.4229014,5.8505135,4.947039,5.6969137,-1.78045108566958
"WNK1",0.0063011826199,0.037858793,4.7427375,"down",6.2285423,5.5993433,4.8831673,7.642362,8.173758,7.632093,-2.24572002065688
"MRPL10",0.0063032726257,0.037858793,2.2904632,"up",6.6717987,6.4238944,6.6840305,5.115929,5.265252,5.8116245,1.1956393838103
"ASB8",0.0063046932243,0.037858793,2.6136115,"up",9.182403,8.978759,9.277281,7.3783875,7.6740203,8.227901,1.38604470782115
"UBA1",0.0063098350899,0.037858793,4.1231493,"down",5.430783,5.5518427,5.8334465,7.5735693,7.047984,8.325759,-2.04374670242652
"KLC1",0.0063099894331,0.037858793,2.6591896,"down",8.803635,7.9221416,8.3831215,9.610096,9.838713,9.893049,-1.41098664490074
"RNF175",0.006312590767,0.037858793,5.7645298,"up",7.1266003,7.3966546,7.4442945,4.76677,3.9934106,5.62576,2.52720293521903
"ALDH3B1",0.0063140157207,0.037858793,3.0832597,"down",3.8761678,3.675754,3.2873769,5.7512326,4.9688473,4.992588,-1.62445641137915
"ZAR1",0.0063158972845,0.037858793,3.1488606,"up",5.976275,5.5117674,6.2761574,4.574231,3.8312511,4.394228,1.65482989080446
"CABIN1",0.0063168525983,0.037858793,3.0228489,"down",4.674365,3.9827447,4.612862,5.895567,5.735086,6.4270453,-1.59590886627332
"C16orf86",0.006320936971,0.037858793,2.6826999,"up",6.3649864,6.273574,6.7313194,5.2828074,5.247966,4.5680494,1.42368567666441
"KIAA0825",0.0063210076481,0.037858793,4.3599204,"up",6.523184,7.5566964,7.51192,4.7290993,5.4943714,4.9954243,2.12430179565047
"EIF3J",0.0063216541413,0.037858793,3.9820068,"down",8.421627,8.107041,7.447291,10.061771,9.520887,10.373788,-1.99349568472439
