"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"PGR",-2.90544467218345,3185.24655761751,-4.52616886445792,6.0062592797654e-06,0.000788284980673271
"LOC105371716",-1.8145076039738,28.2729695846745,-4.52609424335754,6.00837935976432e-06,0.000788284980673271
"TDRD9",-2.07682918353668,16.3462526700625,-4.52009211012074,6.18127313953837e-06,0.000806141038614796
"TGM2",-2.20202664452938,3791.17334708884,-4.51834808392822,6.23239656766886e-06,0.000807998868624998
"LOC101927078",-2.9609825751033,10.5865443435884,-4.51609500904694,6.2990411632604e-06,0.000811835246394326
"PPFIA2-AS1",-2.38092836212203,16.9637614523929,-4.5121297474671,6.4179905930898e-06,0.000822328502307588
"SMCO3",-1.98129243641003,33.228383199405,-4.50818305971353,6.53851509281822e-06,0.000830435610668165
"LOC105375151",-1.65052500853791,52.3355210614756,-4.50758171641934,6.55706803494261e-06,0.000830435610668165
"CHN2",-1.55844915171927,136.835403749638,-4.50508552148868,6.63462172100423e-06,0.000835428516708062
"ITGA9-AS1",-1.5873832129658,60.9223227591562,-4.4998300175648,6.80078223869381e-06,0.000851457936284465
"LOC105375247",-2.19177207188423,15.7847588603592,-4.49250773742781,7.03893602317258e-06,0.000876267546975632
"SMOC1",-3.47951778223043,152.066821539725,-4.48736109299701,7.21107975188187e-06,0.000881433065828815
"LINC02487",3.81656968211511,132.646532826059,4.48640313039475,7.24356278371876e-06,0.000881433065828815
"LOC107985075",3.73225396681061,156.243823123295,4.48621092600167,7.25009697072513e-06,0.000881433065828815
"LOC101927825",-1.23603350874302,377.992707941505,-4.48528720626657,7.28157849908789e-06,0.000881433065828815
"USH1G",3.42785847328544,148.296527362162,4.48041431965417,7.4498281867048e-06,0.00089350362654183
"LOC107984452",-2.20800828836746,27.7069280663094,-4.48004142207024,7.46285548412391e-06,0.00089350362654183
"LOC105377395",-2.64745193642401,19.7358420218956,-4.47690454174043,7.57330910080061e-06,0.000901800013035551
"ZNF471",-1.01903411002513,286.163123479719,-4.4737241109581,7.68689106400291e-06,0.000910377206552994
"ULBP3",1.98762130023898,43.6391305605984,4.47045108412377,7.80547951927901e-06,0.000919451915416146
"LOC105374785",-2.83693726563925,26.2463854443946,-4.46750282225771,7.91379676386584e-06,0.000927226134204815
"AMIGO2",-2.0415153686187,367.68745373666,-4.46526091822986,7.99712314383881e-06,0.000932005149369725
"NOS1",2.46082854900614,407.772635418799,4.45939238307551,8.21923293856517e-06,0.000938966109403405
"NXPE1",-1.83712854218246,25.1892911332638,-4.4584089173203,8.25702692500294e-06,0.000938966109403405
"KRT78",5.42697618040047,539.646377531546,4.45821965929247,8.26431902899964e-06,0.000938966109403405
"NAV3",-1.57980383764282,329.286839487639,-4.45665571728094,8.32481370252268e-06,0.000938966109403405
"MFSD4A-AS1",-1.61285263846931,13.6310180539788,-4.45662252897959,8.32610203049898e-06,0.000938966109403405
"SERPINB7",3.96162883882153,72.670978595257,4.45592400984524,8.35326191786681e-06,0.000938966109403405
"SNORD83B",1.64802555824053,48.959475071222,4.45443963610456,8.41125892208062e-06,0.000938966109403405
"RSPH3",1.07863409462182,389.325994548527,4.45361378091588,8.44369291196495e-06,0.000938966109403405
"CCDC180",-1.36130501209573,158.812596548135,-4.4518273059727,8.51426297107392e-06,0.000938966109403405
"DGAT2",2.76901443937758,216.397036448545,4.45147456386608,8.52826361347684e-06,0.000938966109403405
"SNHG3",2.065790845825,1074.32032400471,4.44783706881364,8.67392816704925e-06,0.000950228830700246
"RERG-AS1",-2.17243765906258,28.8179023764347,-4.44416241921245,8.82349310763241e-06,0.000959634230248536
"LOC107986197",1.75967817414004,101.074605330553,4.44254722801366,8.89001117081024e-06,0.000959634230248536
"SCUBE3-AS1",-1.35539031438584,209.889864024141,-4.44190842550116,8.91645084155376e-06,0.000959634230248536
"DCT",-2.41186815123201,27.0760353964858,-4.4381207441276,9.07477106176952e-06,0.000959858063768982
"IRAG1",-1.97769197087548,2313.01778893802,-4.43709664592899,9.11803619079014e-06,0.000959858063768982
"DNM1P46",-1.76428533303254,39.6564327378953,-4.43285813985776,9.29920546439032e-06,0.000959858063768982
"RNF216-IT1",-1.6575152306944,50.2497847248689,-4.43249438603554,9.31491286424052e-06,0.000959858063768982
"INPP4B",-1.0695222672523,493.511960679514,-4.43200113405722,9.33625267051561e-06,0.000959858063768982
"C17orf67",-1.06061654615156,103.030309801533,-4.43082571946958,9.38729364465595e-06,0.000959858063768982
"SLC7A11",2.69134032262801,63.100486153105,4.43044598512393,9.40384005082409e-06,0.000959858063768982
"CPAMD8",-2.81086155207489,321.160805343479,-4.42690154295462,9.55963396719355e-06,0.000965892831623225
"SYT10",-3.28967401626594,25.732935331043,-4.42669104912161,9.56896324487698e-06,0.000965892831623225
"SOX5",-1.8242563808315,668.771676798624,-4.42299838516892,9.73404692733992e-06,0.000971667112896836
"TMEM125",3.114690640504,67.4303286380285,4.42249890428551,9.75658442890479e-06,0.000971667112896836
"SCUBE3",-1.65101932721604,617.570361927644,-4.4124272421041,1.02218150347245e-05,0.00100389044861243
"TOLLIP",1.03658786205015,2115.75484058714,4.41219027365742,1.02330121555712e-05,0.00100389044861243
"GPR78",3.39466130041235,77.8929759535039,4.411142505394,1.02826613577954e-05,0.00100389044861243
"TPM1",-2.15482954552927,5794.94535250808,-4.41014243604216,1.03302648355922e-05,0.00100389044861243
"SLC27A4",1.56860192215438,957.814198111847,4.40911444779285,1.03794165759914e-05,0.00100389044861243
"TFPI",-1.50124607104102,601.677820658762,-4.40901967218542,1.03839593590562e-05,0.00100389044861243
"HS6ST3",-3.14740991714661,42.4083852530459,-4.40778013928079,1.04435477123138e-05,0.00100389044861243
"ANKRD35",2.2079052595668,469.149826408365,4.40508955093052,1.05740186660993e-05,0.0010116888601495
"LOC105377394",-2.11938694721033,129.645846332411,-4.40253265777267,1.06994478096173e-05,0.00101482641345764
"NKAIN3",-1.75217792803004,40.6589859832575,-4.39972346191384,1.08388912978929e-05,0.00102362115662429
"DBNDD1",1.92646618732908,155.614869272952,4.39475721342346,1.10896626255057e-05,0.00104125209954983
"GPR17",-1.87648689283778,715.377372776492,-4.39347437656565,1.1155334291662e-05,0.00104125209954983
"TLCD1",1.14071556124814,116.808205167201,4.39322480597988,1.11681535095486e-05,0.00104125209954983
