"PATH","PathwayName","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Same_direction"
"04510","KEGG 04510 - Focal adhesion",194,NA,0.00311607001823691,71,-1.86301568312386,0.0599400599400599,NA
"04512","KEGG 04512 - ECM-receptor interaction",83,NA,0.00311607001823691,22,-1.61332678914707,0.125800125800126,NA
"04520","KEGG 04520 - Adherens junction",73,NA,0.00311607001823691,30,-1.50919466663138,0.153180153180153,NA
"04621","KEGG 04621 - NOD-like receptor signaling pathway",56,-1.6332030574575,0.00311607001823691,28,-1.30264965516877,0.23391242903438,TRUE
"04650","KEGG 04650 - Natural killer cell mediated cytotoxicity",103,-1.65012244091278,0.00311607001823691,45,-1.51265062807367,0.125800125800126,TRUE
"04660","KEGG 04660 - T cell receptor signaling pathway",103,-1.80879748502423,0.00311607001823691,36,-1.39859252025782,0.168581418581419,TRUE
"04662","KEGG 04662 - B cell receptor signaling pathway",73,-1.77245937991407,0.00311607001823691,27,-1.8596705911035,0.0822706705059646,TRUE
"04666","KEGG 04666 - Fc gamma R-mediated phagocytosis",93,NA,0.00311607001823691,45,-1.56562407547623,0.124875124875125,NA
"04810","KEGG 04810 - Regulation of actin cytoskeleton",193,NA,0.00311607001823691,82,-1.83232857130834,0.0599400599400599,NA
"05012","KEGG 05012 - Parkinson's disease",112,-3.37072812779685,0.00311607001823691,42,1.52536763449906,0.205676676264912,FALSE
"05016","KEGG 05016 - Huntington's disease",169,-3.60059973195304,0.00311607001823691,53,1.58026484155002,0.167574361122748,FALSE
"05110","KEGG 05110 - Vibrio cholerae infection",50,-3.07022916709827,0.00311607001823691,27,1.7399943462038,0.124875124875125,FALSE
"05215","KEGG 05215 - Prostate cancer",86,-3.11002638133803,0.00311607001823691,34,-1.7099708488711,0.0822706705059646,TRUE
"05217","KEGG 05217 - Basal cell carcinoma",52,NA,0.00311607001823691,16,1.51628323165724,0.23391242903438,NA
"05218","KEGG 05218 - Melanoma",62,-2.58157912242502,0.00311607001823691,23,-2.02656089704156,0.0599400599400599,TRUE
"05219","KEGG 05219 - Bladder cancer",42,-2.34741228281089,0.00311607001823691,15,-1.60362914580452,0.124875124875125,TRUE
"05220","KEGG 05220 - Chronic myeloid leukemia",73,-2.68067096325591,0.00311607001823691,35,-1.78246724925485,0.0599400599400599,TRUE
"05221","KEGG 05221 - Acute myeloid leukemia",57,-2.03731199865931,0.00311607001823691,23,-1.54023370570433,0.153180153180153,TRUE
"05223","KEGG 05223 - Non-small cell lung cancer",54,-2.77511248310304,0.00311607001823691,20,-1.33904113882827,0.240668422486604,TRUE
"00563","KEGG 00563 - Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",25,-0.908854671590802,0.019560878243513,13,1.51452240082852,0.220831799779168,FALSE
"03010","KEGG 03010 - Ribosome",85,-1.5652305503436,0.0297779441117764,47,3.63932514723238,0.0599400599400599,FALSE
"00510","KEGG 00510 - N-Glycan biosynthesis",49,-0.968735732736841,0.0475390682050533,23,1.78932663201835,0.124875124875125,FALSE
